"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,8698757469111.0,8592135750579.0,8131702452406.0,8194753978897.0,7615769467741.0,7577772992730.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-7073041936513.0,-7012576475596.0,-6640771440334.0,-6671994182070.0,-6229570187158.0,-6210611348128.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1625715532598.0,1579559274983.0,1490931012072.0,1522759796827.0,1386199280583.0,1367161644602.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-1373990331229.0,-1349088936996.0,-1249529986197.0,-1269557613225.0,-1133018580665.0,-1117166062152.0
dart_BadDebtExpenses,대손상각비,Bad debt expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,대손상각비,,,-83954130.0,-62451024.0,-14429979.0,-14429979.0,-773126348.0,-773126348.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,251641247239.0,230407886963.0,241386595896.0,253187753623.0,252407573570.0,249222456102.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,지분법손익,Gains and loss on valuation using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-908835332.0,,,-310381734.0,-943439331.0,
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,31392602987.0,30275454513.0,22658096179.0,24248140028.0,20021209844.0,17831406328.0
dart_AllowanceForOtherDoubtfulAccounts,기타의대손상각비,Allowance for other doubtful accounts,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타의대손상각비,,,-156083671.0,-164989115.0,-208380130.0,-187980130.0,-118943220.0,-139343220.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-25536357704.0,-27701354406.0,-17995577919.0,-18292494814.0,-14863483017.0,-14664307791.0
ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,금융수익-유효이자율법으로계산한이자수익,Financial income - interest income with effective interest rate method,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익-유효이자율법으로계산한이자수익,,,28420382606.0,27293858184.0,25414107909.0,25660845013.0,13907308403.0,13681442887.0
ifrs-full_OtherFinanceIncome,금융수익-기타,Financial income - others,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익-기타,,,12124475038.0,11885626039.0,11912817218.0,11987317821.0,15255622057.0,15124754818.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,-51628678073.0,-49873409982.0,-46320811389.0,-47941890831.0,-31597074298.0,-30609938418.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,245348753090.0,222123072196.0,236846847764.0,248351308976.0,254068774008.0,250446470706.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세 비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세 비용,,,-50130876892.0,-49360802820.0,-51931483754.0,-52506356973.0,-60529910982.0,-59746287804.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,195217876198.0,172762269376.0,184915364010.0,195844952003.0,193538863026.0,190700182902.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,Shareholders of the parent entity,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업 소유주지분,,195217876198.0,,,195844952003.0,193538863026.0,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-14710405879.0,-11995974290.0,-11964321076.0,-13191986557.0,11565436872.0,10212633712.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-14710405879.0,-11995974290.0,-11964321076.0,-13191986557.0,11565436872.0,10212633712.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,180507470319.0,160766295086.0,172951042934.0,182652965446.0,205104299898.0,200912816614.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,180507470319.0,,,182652965446.0,205104299898.0,
ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당순이익,,11301.0,10001.0,10704.0,11337.0,11203.0,11039.0
