"('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class3')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class4')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_InsuranceServiceResult,보험손익,Insurance service result,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,,,,1619094289949.0,1719189378646.0,1550007977010.0,1642375005187.0,2109282349413.0,2004682156120.0
dart_OperatingIncomeInsurance,보험영업수익,"Operating income, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,,,15052383574282.0,16078175837587.0,14936307512484.0,15585680850886.0,14470607895676.0,13910704442445.0
dart_OperatingExpenseInsurance,보험서비스비용,"Operating expense, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험서비스비용,,,-13433289284333.0,-14358986458941.0,-13386299535474.0,-13943305845699.0,-12361325546263.0,-11906022286325.0
dart_InvestmentIncomeExpenses,투자손익,Investment income expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,,,,743568224720.0,705736225311.0,466754713684.0,592622552302.0,616764614341.0,574671652711.0
ifrs-full_InvestmentIncome,투자영업수익,Investment income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,,,3778454784770.0,5756815463478.0,2847605508792.0,4175650416966.0,4461365142881.0,3004368900810.0
dart_OperatingExpenseInvestment,투자영업비용,"Operating expense, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,,,-3034886560050.0,-5051079238167.0,-2380850795108.0,-3583027864664.0,-3844600528540.0,-2429697248099.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익(손실),Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,,2362662514669.0,2424925603957.0,2016762690694.0,2234997557489.0,2726046963754.0,2579353808831.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,,3151389897.0,12066806181.0,8523729153.0,20823592576.0,-26471525803.0,-1886350292.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업투자자산평가손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,관계기업투자자산평가손익,,,,20123442579.0,,8067254587.0,-7388348879.0,
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,영업외수익,,,58524074044.0,60475510629.0,44630116191.0,49328694359.0,65268140917.0,36809143591.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,영업외비용,,,-55372684147.0,-68532147027.0,-36106387038.0,-36572356370.0,-84351317841.0,-38695493883.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,,2365813904566.0,2436992410138.0,2025286419847.0,2255821150065.0,2699575437951.0,2577467458539.0
