"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,당기손익 [개요],수익(매출액),,,25297467000000.0,679438000000.0,25978494000000.0,1004792000000.0,28582513000000.0,563402000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,,-19106363000000.0,,-19264794000000.0,,-20614776000000.0,
ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,,6191104000000.0,679438000000.0,6713700000000.0,1004792000000.0,7967737000000.0,563402000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,당기손익 [개요],판매비와관리비,,,-3130941000000.0,-88972000000.0,-2991898000000.0,-86417000000.0,-2847556000000.0,-84279000000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),당기손익 [개요],영업이익(손실),,,3060163000000.0,590466000000.0,3721802000000.0,918375000000.0,5120181000000.0,479123000000.0
dart_OtherGains,기타이익,Other gains,당기손익 [개요],기타이익,,,438829000000.0,483000000.0,333472000000.0,374000000.0,360526000000.0,1896000000.0
dart_OtherLosses,기타손실,Other losses,당기손익 [개요],기타손실,,,-441906000000.0,-4206000000.0,-278981000000.0,-279000000.0,-401086000000.0,-142000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,당기손익 [개요],금융수익,,,312821000000.0,41860000000.0,217336000000.0,14278000000.0,230566000000.0,18002000000.0
ifrs-full_FinanceCosts,금융원가,Finance costs,당기손익 [개요],금융원가,,,-651391000000.0,-46313000000.0,-531222000000.0,-40721000000.0,-550246000000.0,-33297000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,당기손익 [개요],법인세비용차감전순이익(손실),,,2718516000000.0,582290000000.0,3462407000000.0,892027000000.0,4759941000000.0,465582000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,당기손익 [개요],법인세비용,,,-1854999000000.0,-20654000000.0,-1822133000000.0,-14698000000.0,-2174470000000.0,-20105000000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,당기손익 [개요],계속영업이익(손실),,,863517000000.0,,1640274000000.0,,2585471000000.0,
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,당기손익 [개요],중단영업이익(손실),,,0.0,,-61563000000.0,,-102767000000.0,
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),당기손익 [개요],당기순이익(손실),,,863517000000.0,561636000000.0,1578711000000.0,877329000000.0,2482704000000.0,445477000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분순이익,"Profit (loss), attributable to owners of parent",당기손익 [개요],당기순이익(손실)의 귀속 [개요],지배기업소유주지분순이익,,567020000000.0,,1300651000000.0,,2142967000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,"Profit (loss), attributable to non-controlling interests",당기손익 [개요],당기순이익(손실)의 귀속 [개요],비지배지분순이익,,296497000000.0,,278060000000.0,,339737000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실) 합계,Total basic earnings (loss) per share,당기손익 [개요],주당이익 [개요],기본주당이익(손실) 합계,,5988.0,5931.0,13737.0,9266.0,22634.0,4704.0
entity00500254_BasicEarningsLossPerSharePreferredStockOfEarningsPerShareAbstract,우선주기본주당순이익(손실),Basic earnings loss per share preferred stock,당기손익 [개요],주당이익 [개요],우선주기본주당순이익(손실),,6038.0,,13787.0,,22684.0,
