"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,11626920274913.0,11378032037656.0,11134149356918.0,10886894680059.0,10409711225602.0,10666846100865.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-8740044457837.0,-8539950394843.0,-8297382525249.0,-8092649867644.0,-7684960869850.0,-7926418863363.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2886875817076.0,2838081642813.0,2836766831669.0,2794244812415.0,2724750355752.0,2740427237502.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-2625024199498.0,-2563994201529.0,-2525166711740.0,-2459851579944.0,-2356369136594.0,-2449390191028.0
dart_BadDebtExpenses,매출채권및기타채권 등 손상차손,Bad debt expenses(Reversal Allowance Doubtful Accounts),ifrs-full:StatementOfComprehensiveIncomeAbstract,매출채권및기타채권 등 손상차손,,,-22746740665.0,-21451554805.0,-19817850795.0,-19411225742.0,-1327428632.0,-1074966252.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,239104876913.0,252635886479.0,291782269134.0,314982006729.0,367053790526.0,289962080222.0
dart_NonOperatingIncome,기타이익,Other Gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,62390201599.0,,47388150481.0,,,38770100162.0
dart_NonOperatingExpense,기타손실,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,,-129287200880.0,,-56600678991.0,,,-96691213612.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,85569579775.0,106443481123.0,82465428232.0,111293215801.0,130412917109.0,129805929009.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-206173183628.0,-201609683277.0,-149178249531.0,-135097828667.0,-180926551257.0,-188933908826.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Gain (loss) on equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-40445401217.0,1052038590.0,-154794429088.0,-11191715326.0,14673927171.0,-15716222153.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,11158872562.0,-43510217558.0,61062490237.0,80692925192.0,227388343125.0,157196764802.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-41290446688.0,-17293240747.0,-46887053982.0,-45662657675.0,-57479706470.0,-54109604952.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업이익(손실),,,-30131574126.0,-60803458305.0,14175436255.0,35030267517.0,169908636655.0,103087159850.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업당기순이익(손실),Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업당기순이익(손실),,,39923282668.0,0.0,7972090122.0,-59578680243.0,-108394378331.0,-55477355088.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,9791708542.0,-60803458305.0,22147526377.0,-24548412726.0,61514258324.0,47609804762.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,Attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업의 소유주지분,,2547581467.0,,17678130361.0,,,40438492178.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,비지배지분순이익,,7244127075.0,,4469396016.0,,,7171312584.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,38525757958.0,16049018145.0,8519800143.0,11228442767.0,59619324374.0,75032570536.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,당기포괄손익,Cmprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기포괄손익,,,48317466500.0,-44754440160.0,30667326520.0,-13319969959.0,121133582698.0,122642375298.0
