"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Sales revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,25538577356000.0,516796333000.0,269907652000.0,21296205574000.0,17302020185000.0,180500471000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,22943209928000.0,425641407000.0,234192243000.0,20248178434000.0,16935580632000.0,151301647000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2595367428000.0,91154926000.0,35715409000.0,1048027140000.0,366439553000.0,29198824000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,1161276936000.0,73896644000.0,47298604000.0,765766421000.0,722000146000.0,47483837000.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1434090492000.0,17258282000.0,-11583195000.0,282260719000.0,-355560593000.0,-18285013000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,1877492060000.0,77513384000.0,78841121000.0,1228756177000.0,2166858716000.0,82470896000.0
ifrs-full_FinanceCosts,금융비용,Finance expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,5179027639000.0,12387772000.0,8665511000.0,2094933829000.0,2838396135000.0,11369133000.0
dart_OtherGains,기타영업외수익,Non-operating other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,3954347418000.0,139371149000.0,8622506000.0,918721117000.0,1365441508000.0,287822336000.0
dart_OtherLosses,기타영업외비용,Non-operating other expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,264100002000.0,7069121000.0,5607434000.0,342928841000.0,767948164000.0,19098383000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of equity accounted investees,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-139257000.0,,,78973000.0,-1490584000.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,1822663072000.0,214685922000.0,61607487000.0,-8045684000.0,-431095252000.0,321540703000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,368082961000.0,49087945000.0,-239849477000.0,-152975968000.0,-135918156000.0,-53930223000.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,1454580111000.0,165597977000.0,301456964000.0,144930284000.0,-295177096000.0,375470926000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,"Other comprehensive income, net",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-179744376000.0,-14662261000.0,9578692000.0,-155998339000.0,34964936000.0,-27998133000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 세후기타포괄손익,Items that may be subsequently reclassified to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익,,15374494000.0,,,-10226783000.0,5292315000.0,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익,Items that will not be subsequently reclassified to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익,,-195118870000.0,-14662261000.0,9578692000.0,-145771556000.0,29672621000.0,-27998133000.0
ifrs-full_ComprehensiveIncome,총포괄이익(손실),Total comprehensive income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),,,1274835735000.0,150935716000.0,311035656000.0,-11068055000.0,-260212160000.0,347472793000.0
