"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1745458578779.0,1301321358872.0,1145160303472.0,1430463166385.0,1080844655058.0,1333798581178.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1383282506544.0,1013063713076.0,923249658425.0,1157570386406.0,900433746606.0,1138075343154.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,362176072235.0,288257645796.0,221910645047.0,272892779979.0,180410908452.0,195723238024.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,Selling and administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,90446120735.0,48065448855.0,36307691517.0,71420301624.0,29797906285.0,53772830648.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,271729951500.0,240192196941.0,185602953530.0,201472478355.0,150613002167.0,141950407376.0
ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,67495549489.0,65088324189.0,39542122299.0,40724493726.0,39730638424.0,40210225412.0
ifrs-full_FinanceCosts,금융비용,Financial costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,39197159547.0,36304478818.0,36809768228.0,40626705754.0,34552279100.0,36462793879.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,751683100.0,1758043119.0,2987492392.0,778971695.0,2950053308.0,920010440.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,3621392803.0,3155966509.0,1133197495.0,1340797691.0,4599149920.0,4719320030.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-238020822.0,,,0.0,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,296920610917.0,267578118922.0,190189602498.0,201008440331.0,154142264879.0,141898529319.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,68980334282.0,62367526518.0,46715595545.0,49892265000.0,40542619115.0,36972021513.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,227940276635.0,205210592404.0,143474006953.0,151116175331.0,113599645764.0,104926507806.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,9788076533.0,-2625889569.0,-2308270959.0,-3877047743.0,1445992306.0,2419219290.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensie income, net of tax, that will not be reclassified to profit or loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-2769147368.0,-2625889569.0,-2308270959.0,-2374263103.0,1445992306.0,1403765540.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,Other Comprehensive Income That Will Be Reclassified To Profit Or Loss Net Of Tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,12557223901.0,,,-1502784640.0,,1015453750.0
ifrs-full_ComprehensiveIncome,당기총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익,,,237728353168.0,202584702835.0,141165735994.0,147239127588.0,115045638070.0,107345727096.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,Profit Loss Attributable To Owners Of Parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주지분,,227940276635.0,,,151116175331.0,,104926507806.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit Loss Attributable To Noncontrolling Interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,,0.0,,,0.0,,0.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주지분,Comprehensive Income Attributable To Owners Of Parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],지배기업의 소유주지분,,237728353168.0,,,147239127588.0,,107345727096.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Comprehensive Income Attributable To Noncontrolling Interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],비지배지분,,0.0,,,0.0,,0.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익(손실),,5304.0,4775.0,3587.0,3778.0,2840.0,2623.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익(손실),,5275.0,4749.0,3585.0,3776.0,2840.0,2623.0
