"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Salse revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,14476389927000.0,14486453544000.0,11963925991000.0,11957982952000.0,9065348185000.0,9045480488000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,12989617319000.0,12992522670000.0,11309062476000.0,11309469301000.0,8902373908000.0,8882619441000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1486772608000.0,1493930874000.0,654863515000.0,648513651000.0,162974277000.0,162861047000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"Selling, general and administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,784229213000.0,788707391000.0,476223550000.0,470707675000.0,449771525000.0,452012200000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,702543395000.0,705223483000.0,178639965000.0,177805976000.0,-286797248000.0,-289151153000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,962314218000.0,963969901000.0,631106222000.0,627736808000.0,1139051565000.0,1139354504000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,3243403591000.0,3244079981000.0,1124111388000.0,1123425805000.0,1591454391000.0,1591690209000.0
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,2543140271000.0,2543156461000.0,580068983000.0,579095017000.0,812607188000.0,812715869000.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,170059545000.0,169933394000.0,231326649000.0,231201855000.0,492902079000.0,491268710000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Loss on valuation of equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-198757000.0,-14131000.0,,,-1444085000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,794534748000.0,798137713000.0,34363002000.0,30010141000.0,-419494965000.0,-421483784000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,176200105000.0,176628293000.0,9673788000.0,8680683000.0,-69419163000.0,-69419162000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,618334643000.0,621509420000.0,24689214000.0,21329458000.0,-350075802000.0,-352064622000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-123525954000.0,-123796740000.0,-109936015000.0,-104774524000.0,46060794000.0,46091087000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,Items that are or may be reclassified subsequently to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,,-5842471000.0,-6087278000.0,-13035775000.0,-10298671000.0,525597000.0,555890000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,Items that will not be reclassified to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,,-117683483000.0,-117709462000.0,-96900240000.0,-94475853000.0,45535197000.0,45535197000.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,494808689000.0,497712680000.0,-85246801000.0,-83445066000.0,-304015008000.0,-305973535000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업의 소유주지분,,,621509050000.0,24686073000.0,,,-352064622000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,비지배지분,,,370000.0,3141000.0,,,0.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속,지배기업의 소유주지분,,,497712359000.0,-85241634000.0,,,-305973535000.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속,비지배지분,,,321000.0,-5167000.0,,,0.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업의 소유주지분에 대한 주당손익,기본주당이익(손실),,6965.0,7001.0,278.0,240.0,-3943.0,-3966.0
