"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,11513430000000.0,11700224000000.0,8230446000000.0,8400969000000.0,18429889000000.0,18582770000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-7808634000000.0,-7736760000000.0,-7486215000000.0,-7426107000000.0,-8255016000000.0,-8138915000000.0
ifrs-full_GrossProfit,매출총이익,Gross income,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,3704796000000.0,3963464000000.0,744231000000.0,974862000000.0,10174873000000.0,10443855000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-215061000000.0,-450617000000.0,-179480000000.0,-390092000000.0,-257179000000.0,-494498000000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,3489735000000.0,3512847000000.0,564751000000.0,584770000000.0,9917694000000.0,9949357000000.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,150262000000.0,159184000000.0,102098000000.0,114803000000.0,167048000000.0,185417000000.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-192312000000.0,-196751000000.0,-170787000000.0,-178559000000.0,-264555000000.0,-272334000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,1420711000000.0,1397490000000.0,1569756000000.0,1549475000000.0,2006171000000.0,1984691000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-1120549000000.0,-1138471000000.0,-840676000000.0,-862500000000.0,-1594728000000.0,-1619387000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,공동기업 및 관계기업투자손익,Share of profit of joint ventures and associates,ifrs-full:StatementOfComprehensiveIncomeAbstract,공동기업 및 관계기업투자손익,,,7359000000.0,162267000000.0,-102688000000.0,-153728000000.0,-92212000000.0,-12318000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Income before income tax revenue (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,3755206000000.0,3896566000000.0,1122454000000.0,1054261000000.0,10139418000000.0,10215426000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-83978000000.0,-114437000000.0,-97044000000.0,-85569000000.0,-76855000000.0,-98290000000.0
ifrs-full_ProfitLoss,당기순이익,Income for the year,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,3671228000000.0,3782129000000.0,1025410000000.0,968692000000.0,10062563000000.0,10117136000000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,3179544000000.0,3164988000000.0,350477000000.0,355331000000.0,597462000000.0,573366000000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목,Items that will not be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목,,3179544000000.0,3118152000000.0,350477000000.0,338208000000.0,597462000000.0,568731000000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는항목,Items that will be subsequently reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는항목,,,46836000000.0,,17123000000.0,,4635000000.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,6850772000000.0,6947117000000.0,1375887000000.0,1324023000000.0,10660025000000.0,10690502000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,Owners of the Parent Company,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,지배기업소유주지분,,,3782169000000.0,,968560000000.0,,10116968000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interest,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,비지배지분,,,-40000000.0,,132000000.0,,168000000.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의소유주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익의 귀속,지배기업의소유주지분,,,6946998000000.0,,1323878000000.0,,10690285000000.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익의 귀속,비지배지분,,,119000000.0,,145000000.0,,217000000.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업지분에 대한 주당이익,기본주당이익(손실),,4851.0,4999.0,1774.0,1667.0,20509.0,20621.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업지분에 대한 주당이익,희석주당이익(손실),,3582.0,3690.0,980.0,924.0,9845.0,9899.0
