"('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'concept_id')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_ko')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_en')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class0')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class1')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class2')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1827039599960.0,1909591995353.0,1893077679119.0
dart_RevenueFromConstruction,공사매출,Revenue from construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,공사매출,,1826900634147.0,1888977227379.0,1866518475900.0
dart_RevenueFromSaleOfGoodsRealEstate,분양매출,Revenue from sale of goods real estate,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,분양매출,,138965813.0,20614767974.0,26559203219.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1632381703040.0,1827986861360.0,1837234418377.0
dart_CostOfSalesFromConstruction,공사원가,Cost of sales from construction,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,공사원가,,1632261455332.0,1809956714258.0,1812239679098.0
dart_CostOfSalesFromSaleOfGoodsRealEstate,분양원가,Cost of sales from sale of goods real estate,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,분양원가,,120247708.0,18030147102.0,24994739279.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,194657896920.0,81605133993.0,55843260742.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,130061037594.0,63458193441.0,56935099362.0
dart_SalariesWages,급여,"Salaries wages, selling and general administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,급여,,31823455450.0,31991949463.0,24570325631.0
dart_ProvisionForSeveranceIndemnities,퇴직급여,"Provision for severance indemnities, selling and general administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,퇴직급여,,1991936328.0,29044628.0,1896093638.0
