"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출및지분법손익,Revenue and gain (loss) on valuation by equity method,ifrs-full:IncomeStatementAbstract,매출및지분법손익,,,7175505000000.0,931567000000.0,1030586000000.0,7445336000000.0,7185987000000.0,1067525000000.0
ifrs-full_RevenueFromSaleOfGoods,제품및상품매출,Revenue(Saels) from sale of goods,ifrs-full:IncomeStatementAbstract,매출및지분법손익,제품및상품매출,,921827000000.0,,,1022195000000.0,1005453000000.0,
ifrs-full_RevenueFromRenderingOfServices,용역매출,Revenue(Sales) from rendering of services,ifrs-full:IncomeStatementAbstract,매출및지분법손익,용역매출,,2880021000000.0,,,2507360000000.0,2238380000000.0,
ifrs-full_RevenueFromConstructionContracts,건설형계약매출,Revenue(Sales) from construction contracts,ifrs-full:IncomeStatementAbstract,매출및지분법손익,건설형계약매출,,2557448000000.0,,,2421518000000.0,2040906000000.0,
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,매출및지분법손익,지분법손익,,217001000000.0,,,899203000000.0,1302911000000.0,
ifrs-full_OtherRevenue,기타매출,Other revenue(Sales),ifrs-full:IncomeStatementAbstract,매출및지분법손익,기타매출,,599208000000.0,,,595060000000.0,598337000000.0,
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,5746803000000.0,,,5438970000000.0,4853189000000.0,
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,1428702000000.0,,,2006366000000.0,2332798000000.0,
dart_TotalSellingGeneralAdministrativeExpenses,판매비와일반관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와일반관리비,,,461860000000.0,,,417353000000.0,391418000000.0,
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,,966842000000.0,654739000000.0,751375000000.0,1589013000000.0,1941380000000.0,821445000000.0
