"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,26615347000000.0,25178688000000.0,21330819000000.0,19811015000000.0,24131172000000.0,26151781000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-24039928000000.0,-24476213000000.0,-20985643000000.0,-21446905000000.0,-24870325000000.0,-25027703000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2575419000000.0,702475000000.0,345176000000.0,-1635890000000.0,-739153000000.0,1124078000000.0
ifrs-full_SellingExpense,판매비,Selling expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비,,,-584692000000.0,-294153000000.0,-575785000000.0,-280262000000.0,-517397000000.0,-895602000000.0
ifrs-full_GeneralAndAdministrativeExpense,관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,관리비,,,-1103617000000.0,-781822000000.0,-899902000000.0,-600587000000.0,-582717000000.0,-931117000000.0
ifrs-full_ResearchAndDevelopmentExpense,연구개발비,Research and development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,연구개발비,,,-1447706000000.0,-1427125000000.0,-1379653000000.0,-1367382000000.0,-1362196000000.0,-1382406000000.0
dart_OperatingIncomeLoss,영업손실,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업손실,,,-560596000000.0,-1800625000000.0,-2510164000000.0,-3884121000000.0,-3201463000000.0,-2085047000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,883094000000.0,704770000000.0,1122294000000.0,2411597000000.0,691501000000.0,873059000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-1821912000000.0,-1254153000000.0,-1634534000000.0,-877350000000.0,-572487000000.0,-966363000000.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,2100443000000.0,1702506000000.0,1472258000000.0,995791000000.0,2266820000000.0,3185837000000.0
