"('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:IncomeStatementAbstract,영업수익,,13496233000000.0,14625198000000.0,14372626000000.0,13238551000000.0,13905990000000.0,12781569000000.0
ifrs-full_OperatingExpense,영업비용,Operating expense,ifrs-full:IncomeStatementAbstract,영업비용,,12614427000000.0,13762068000000.0,13374595000000.0,12251392000000.0,12824730000000.0,11731739000000.0
ifrs-full_CostOfInventoriesRecognisedAsExpenseDuringPeriod,상품구입원가,Cost of inventories recognised as expense during period,ifrs-full:IncomeStatementAbstract,영업비용,상품구입원가,2711356000000.0,2926166000000.0,2872275000000.0,2683558000000.0,2651215000000.0,2472954000000.0
ifrs-full_EmployeeBenefitsExpense,종업원급여,Employee benefits expense,ifrs-full:IncomeStatementAbstract,영업비용,종업원급여,1248224000000.0,1669381000000.0,1537521000000.0,1140382000000.0,1457486000000.0,1073306000000.0
ifrs-full_DepreciationAndAmortisationExpense,감가상각비와무형자산상각비,Depreciation and amortization,ifrs-full:IncomeStatementAbstract,영업비용,감가상각비와무형자산상각비,2524844000000.0,2663765000000.0,2571236000000.0,2404023000000.0,2451181000000.0,2280993000000.0
entity00231363_SalesCommissionOfOperatingExpense,판매수수료,Sales commission,ifrs-full:IncomeStatementAbstract,영업비용,판매수수료,,2068336000000.0,2058690000000.0,,2117389000000.0,
dart_Commissions,지급수수료,Commissions,ifrs-full:IncomeStatementAbstract,영업비용,지급수수료,1507585000000.0,1769220000000.0,1712586000000.0,1447664000000.0,1717413000000.0,1438361000000.0
dart_OtherOperatingExpense,기타영업비용,Other operating expense,ifrs-full:IncomeStatementAbstract,영업비용,기타영업비용,2625072000000.0,2665200000000.0,2622287000000.0,2591157000000.0,2430046000000.0,2438450000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,881806000000.0,863130000000.0,998031000000.0,987159000000.0,1081260000000.0,1049830000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,61186000000.0,75474000000.0,58181000000.0,47476000000.0,57054000000.0,50886000000.0
ifrs-full_FinanceCosts,금융비용,Financial costs,ifrs-full:IncomeStatementAbstract,금융비용,,292900000000.0,311831000000.0,287191000000.0,275670000000.0,222918000000.0,212600000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익(손실),Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법이익(손실),,,-1743000000.0,1759000000.0,,3334000000.0,
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:IncomeStatementAbstract,기타영업외수익,,108927000000.0,99364000000.0,94366000000.0,90002000000.0,84035000000.0,79436000000.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:IncomeStatementAbstract,기타영업외비용,,131702000000.0,273784000000.0,94199000000.0,65322000000.0,145953000000.0,108289000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,627317000000.0,450610000000.0,770947000000.0,783645000000.0,856812000000.0,859263000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,154452000000.0,136008000000.0,140706000000.0,137344000000.0,194224000000.0,197571000000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,472865000000.0,314602000000.0,630241000000.0,646301000000.0,662588000000.0,661692000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주,Earnings per share,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업의 소유주,,374464000000.0,622773000000.0,,663055000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Attributable to non-controlling interests.,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,,-59862000000.0,7468000000.0,,-467000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],기본주당이익,1100.0,871.0,1449.0,1504.0,1543.0,1539.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],희석주당이익,1100.0,871.0,1449.0,1504.0,1543.0,1539.0
