"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,당기손익 [개요],매출액,,,21200755000000.0,20841776000000.0,20605290000000.0,20209273000000.0,19589409000000.0,19092897000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,,19457084000000.0,19466610000000.0,18741974000000.0,18726441000000.0,17215010000000.0,17055135000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,,1743671000000.0,1375166000000.0,1863316000000.0,1482832000000.0,2374399000000.0,2037762000000.0
dart_TotalSellingGeneralAdministrativeExpenses,영업비용,Selling general administrative expenses,당기손익 [개요],영업비용,,,1037628000000.0,961522000000.0,1032492000000.0,945783000000.0,1102647000000.0,1021529000000.0
ifrs-full_SellingExpense,판매비,Selling expense,당기손익 [개요],영업비용,판매비,,250049000000.0,247244000000.0,291320000000.0,271266000000.0,353935000000.0,338315000000.0
ifrs-full_GeneralAndAdministrativeExpense,관리비,General and administrative expense,당기손익 [개요],영업비용,관리비,,235769000000.0,166893000000.0,201871000000.0,143277000000.0,178104000000.0,128260000000.0
ifrs-full_ResearchAndDevelopmentExpense,연구개발비,Research and development expense,당기손익 [개요],영업비용,연구개발비,,551810000000.0,547385000000.0,539301000000.0,531240000000.0,570608000000.0,554954000000.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),당기손익 [개요],영업이익,,,706043000000.0,413644000000.0,830824000000.0,537049000000.0,1271752000000.0,1016233000000.0
dart_OtherGains,기타영업외수익,Other gains,당기손익 [개요],기타영업외수익,,,568279000000.0,630592000000.0,478999000000.0,480879000000.0,750337000000.0,724829000000.0
dart_OtherLosses,기타영업외비용,Other losses,당기손익 [개요],기타영업외비용,,,595092000000.0,574240000000.0,564437000000.0,529866000000.0,764140000000.0,678028000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,당기손익 [개요],금융수익,,,122319000000.0,107531000000.0,112933000000.0,100989000000.0,128217000000.0,120193000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,당기손익 [개요],금융비용,,,212751000000.0,192933000000.0,219067000000.0,183321000000.0,251104000000.0,227344000000.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,당기손익 [개요],법인세차감전순이익,,,588798000000.0,384594000000.0,639252000000.0,405730000000.0,1135062000000.0,955883000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),당기손익 [개요],법인세비용,,,139524000000.0,94539000000.0,74051000000.0,41135000000.0,158199000000.0,243266000000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업 당기순이익,Profit (loss) from continuing operations,당기손익 [개요],계속영업 당기순이익,,,449274000000.0,290055000000.0,565201000000.0,364595000000.0,976863000000.0,712617000000.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업 당기순이익,Profit (loss) from discontinued operations,당기손익 [개요],중단영업 당기순이익,,,0.0,,0.0,,2986000000.0,7777000000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),당기손익 [개요],당기순이익,,,449274000000.0,290055000000.0,565201000000.0,364595000000.0,979849000000.0,720394000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",당기손익 [개요],계속영업 당기순이익의 귀속 [개요],지배기업의 소유주지분,,449274000000.0,,565201000000.0,,976863000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",당기손익 [개요],계속영업 당기순이익의 귀속 [개요],비지배지분,,0.0,,0.0,,0.0,
entity00105961_DiscontinedOperationsProfitLossAttributableToOfIncomeStatementAbstract,중단영업 당기순이익의 귀속,"Discontinued operations Profit (loss), attributable to",당기손익 [개요],중단영업 당기순이익의 귀속,,,,,,,,
ifrs-full_ProfitLossFromDiscontinuedOperationsAttributableToOrdinaryEquityHoldersOfParentEntity,지배기업의 보통주에 귀속되는 중단영업당기순이익(손실),"Profit (loss) from discontinued operations attributable to ordinary equity holders of parent entity, used in calculating basic earnings per share",당기손익 [개요],중단영업 당기순이익의 귀속,지배기업의 보통주에 귀속되는 중단영업당기순이익(손실),,0.0,,0.0,,2986000000.0,
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,당기손익 [개요],주당이익,희석주당이익,,,,,,,
