"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Sales,당기손익 [개요],매출액,,,30762552000000.0,87728182000000.0,82262664000000.0,28868175000000.0,27775732000000.0,82521459000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,당기손익 [개요],매출원가,,,22359808000000.0,66348948000000.0,62461405000000.0,21156601000000.0,20424638000000.0,62302074000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,당기손익 [개요],매출총이익,,,8402744000000.0,21379234000000.0,19801259000000.0,7711574000000.0,7351094000000.0,20219385000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,당기손익 [개요],판매비와관리비,,,7843780000000.0,17959559000000.0,16147965000000.0,7024767000000.0,7216098000000.0,16652058000000.0
ifrs-full_SellingExpense,판매비,Selling expense,당기손익 [개요],판매비와관리비,판매비,,4151395000000.0,11168813000000.0,9986193000000.0,3711824000000.0,4053899000000.0,10695423000000.0
ifrs-full_GeneralAndAdministrativeExpense,관리비,General and administrative expense,당기손익 [개요],판매비와관리비,관리비,,907969000000.0,2295340000000.0,1997202000000.0,810193000000.0,705330000000.0,1785222000000.0
ifrs-full_ResearchAndDevelopmentExpense,연구개발비,Research and development expense,당기손익 [개요],판매비와관리비,연구개발비,,1927679000000.0,2687295000000.0,2546867000000.0,1783340000000.0,1633280000000.0,2396913000000.0
entity00401731_ServiceFeeOfTotalSellingGeneralAdministrativeExpenses,서비스비,Service Fee,당기손익 [개요],판매비와관리비,서비스비,,,1808111000000.0,1617703000000.0,,,1774500000000.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),당기손익 [개요],영업이익,,,558964000000.0,3419675000000.0,3653294000000.0,686807000000.0,134996000000.0,3567327000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,당기손익 [개요],금융수익,,,533170000000.0,1167721000000.0,1279526000000.0,683895000000.0,458940000000.0,1033978000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,당기손익 [개요],금융비용,,,581565000000.0,1132596000000.0,1381297000000.0,861734000000.0,653770000000.0,1213072000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익(손실),Share of profit (loss) of associates and joint ventures accounted for using equity method,당기손익 [개요],지분법이익(손실),,,,-992387000000.0,-1044728000000.0,,,-1168026000000.0
dart_OtherGains,기타영업외수익,Other gains,당기손익 [개요],기타영업외수익,,,2454444000000.0,2405944000000.0,2293082000000.0,2852074000000.0,2800466000000.0,3851468000000.0
dart_OtherLosses,기타영업외비용,Other losses,당기손익 [개요],기타영업외비용,,,1856186000000.0,3532562000000.0,2761830000000.0,1999716000000.0,1685329000000.0,3501268000000.0
