"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출,Revenue,ifrs-full:IncomeStatementAbstract,매출,,,20601857000000.0,48916104000000.0,55249785000000.0,19947377000000.0,50983251000000.0,22637157000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,-17434819000000.0,-41379714000000.0,-46463916000000.0,-17253928000000.0,-41122379000000.0,-18209342000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,3167038000000.0,7536390000000.0,8785869000000.0,2693449000000.0,9860872000000.0,4427815000000.0
dart_OtherOperatingIncome,기타영업수익,Other operating income,ifrs-full:IncomeStatementAbstract,기타영업수익,,,,1480020000000.0,676874000000.0,,0.0,
dart_TotalSellingGeneralAdministrativeExpenses,판매비와 관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와 관리비,,,-3012640000000.0,-8099612000000.0,-6933547000000.0,-2802598000000.0,-6881518000000.0,-3375539000000.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익,,,154398000000.0,916798000000.0,2529196000000.0,-109149000000.0,2979354000000.0,1052276000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,,1177351000000.0,2119335000000.0,1787245000000.0,862867000000.0,913786000000.0,1091949000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,,-1378460000000.0,-2714967000000.0,-1665265000000.0,-712312000000.0,-1202630000000.0,-628907000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of net loss of associates and joint ventures accounted for using the equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,,,-24864000000.0,-33311000000.0,,-46215000000.0,
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:IncomeStatementAbstract,기타영업외수익,,,460530000000.0,1395489000000.0,1733332000000.0,521511000000.0,2247549000000.0,3002293000000.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:IncomeStatementAbstract,기타영업외비용,,,-1081090000000.0,-1959849000000.0,-1853057000000.0,-406286000000.0,-2113552000000.0,-680436000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,,-667271000000.0,-268058000000.0,2498140000000.0,156631000000.0,2778292000000.0,3837175000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,,38643000000.0,-61035000000.0,-432501000000.0,85284000000.0,-637124000000.0,-881780000000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익,Profit (loss) from continuing operations,ifrs-full:IncomeStatementAbstract,계속영업이익,,,-628628000000.0,-329093000000.0,2065639000000.0,241915000000.0,2141168000000.0,2955395000000.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손익,Profit (loss) from discontinued operations,ifrs-full:IncomeStatementAbstract,중단영업손익,,,795151000000.0,844104000000.0,-12214000000.0,-13789000000.0,54350000000.0,51574000000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,,166523000000.0,515011000000.0,2053425000000.0,228126000000.0,2195518000000.0,3006969000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배주주에 귀속되는 순이익,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],지배주주에 귀속되는 순이익,,,-690854000000.0,1337812000000.0,,1845363000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,,,1205865000000.0,715613000000.0,,350155000000.0,
ifrs-full_BasicEarningsLossPerShare,보통주 기본주당이익,Basic earnings per ordinary share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,보통주 기본주당이익,,2123.0,-8826.0,17086.0,2910.0,23670.0,38573.0
ifrs-full_DilutedEarningsLossPerShare,보통주 희석주당이익,Diluted earnings per ordinary share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,보통주 희석주당이익,,,-8826.0,17086.0,,23670.0,
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,보통주 기본주당계속영업이익,Basic earnings per ordinary share from continuing operations,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,보통주 기본주당계속영업이익,,-8031.0,-19600.0,17213.0,3086.0,22934.0,37912.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,보통주 희석주당계속영업이익,Diluted earnings per ordinary share from continuing operations,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,보통주 희석주당계속영업이익,,,-19600.0,17213.0,,22934.0,
entity00356361_BasicDilutedEarningsLossPerSharePreferredStockOfEarningsPerShareAbstract,우선주 기본 및 희석주당이익,Basic (Diluted) Earnings Per Preferred Share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,우선주 기본 및 희석주당이익,,,-8826.0,17136.0,,23720.0,
entity00356361_DilutedearningslosspersharepreferredstockfromcontinuingoperationsOfEarningsPerShareAbstract,우선주 기본 및 희석주당계속영업이익,Basic (Diluted) Earnings Per Preferred Share From Continuing Operations,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,우선주 기본 및 희석주당계속영업이익,,,-19600.0,17263.0,,22984.0,
