"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,340087000000.0,27544663000000.0,24480743000000.0,508974000000.0,762772000000.0,17491338000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,,24883462000000.0,22113378000000.0,,,15611056000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,,2661201000000.0,2367365000000.0,,,1880282000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Gains on valuation by equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-14793000000.0,-2028000000.0,,,109380000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,,1573465000000.0,1465663000000.0,,,1320153000000.0
dart_OperatingIncomeLoss,영업이익,Adjusted operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,276448000000.0,1072943000000.0,899674000000.0,448718000000.0,710567000000.0,669509000000.0
dart_OtherGains,기타수익,other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,12533000000.0,1273164000000.0,1036988000000.0,954000000.0,763000000.0,2095560000000.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,4138000000.0,1479125000000.0,991770000000.0,1188000000.0,2617000000.0,1589318000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,6985000000.0,177969000000.0,92289000000.0,7539000000.0,4496000000.0,113518000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,41426000000.0,453447000000.0,435218000000.0,40477000000.0,29743000000.0,228328000000.0
