"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Sales,ifrs-full:IncomeStatementAbstract,매출액,,16637572685167.0,3649841578121.0,14514349869122.0,3492220844921.0,18759549404034.0,4108362283546.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,-15130525526034.0,-3492277658589.0,-13138717077726.0,-3322415005427.0,-16924062732120.0,-3781836646913.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,1507047159133.0,157563919532.0,1375632791396.0,169805839494.0,1835486671914.0,326525636633.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,-1017861785758.0,-175553263081.0,-942523197300.0,-162711527986.0,-869943201579.0,-224972827919.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,489185373375.0,-17989343549.0,433109594096.0,7094311508.0,965543470335.0,101552808714.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit and loss,ifrs-full:IncomeStatementAbstract,영업외손익,,-28763256298.0,,-90311597031.0,,167644222443.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,435049679558.0,180682241917.0,421516643560.0,218431960183.0,709295602583.0,313475427419.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:IncomeStatementAbstract,금융원가,,-540610907682.0,-216345047496.0,-520967737602.0,-243081599012.0,-732314310091.0,-313887560813.0
entity00120076_EquityMethodStockRelatedGainsAndLossesOfIncomeStatementAbstract,지분법주식관련손익,Equity method stock-related gains and losses,ifrs-full:IncomeStatementAbstract,지분법주식관련손익,,180640126641.0,,137263402971.0,,97492162491.0,
entity00120076_OtherNonOperatingProfitLossOfIncomeStatementAbstract,기타영업외손익,"Other non-operating expenses, net",ifrs-full:IncomeStatementAbstract,기타영업외손익,,-103842154815.0,,-128123905960.0,,93170767460.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,460422117077.0,316756762587.0,342797997065.0,153930106192.0,1133187692778.0,640421674311.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,-190930396237.0,-68454632609.0,-149439195125.0,-38649832742.0,-353876884884.0,-111863764526.0
ifrs-full_ProfitLoss,당기순이익,Profit for the year,ifrs-full:IncomeStatementAbstract,당기순이익,,269491720840.0,248302129978.0,193358801940.0,115280273450.0,779310807894.0,528557909785.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,Owners of the parent,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],지배기업 소유주지분,175694960423.0,,117082888989.0,,515223865636.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,93796760417.0,,76275912951.0,,264086942258.0,
entity00120076_udf_IS_2025215212436342OfEarningsPerShareAbstract,기본 및 희석주당이익,Basic and Diluted Earnings Per Share,ifrs-full:IncomeStatementAbstract,지배기업소유주주당이익,기본 및 희석주당이익,4885.0,,3255.0,,14325.0,
