"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_FeeAndCommissionIncomeExpense,수수료수익(비용),Fee and commission income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익(비용),,,951351000000.0,954676000000.0,789280000000.0,789204000000.0,784115000000.0,757314000000.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익(비용),수수료수익,,1143895000000.0,1178025000000.0,1039083000000.0,981136000000.0,1030882000000.0,939533000000.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익(비용),수수료비용,,-192544000000.0,-223349000000.0,-249803000000.0,-191932000000.0,-246767000000.0,-182219000000.0
ifrs-full_InterestRevenueExpense,순이자손익,Interest income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,680261000000.0,801775000000.0,791317000000.0,679191000000.0,675525000000.0,595810000000.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,1553059000000.0,1740437000000.0,1612284000000.0,1423464000000.0,1233133000000.0,1099479000000.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-872798000000.0,-938662000000.0,-820967000000.0,-744273000000.0,-557608000000.0,-503669000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련순손익,,,-112046000000.0,-148682000000.0,-20184000000.0,-96537000000.0,-317893000000.0,-313125000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련순손익,Gain (loss) from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정금융상품관련순손익,,,9326000000.0,9326000000.0,-15182000000.0,-15182000000.0,-1971000000.0,-1971000000.0
dart_GainLossFromFinancialInstrumentsAtAmortisedCost,상각후원가측정금융상품관련순손익,Gain (loss) from financial instruments at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가측정금융상품관련순손익,,,-275000000.0,-275000000.0,68000000.0,68000000.0,9024000000.0,9024000000.0
ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금전입액,"Additional allowance recognised in profit or loss, allowance account for credit losses of financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,신용손실충당금전입액,,,87244000000.0,87049000000.0,110013000000.0,73250000000.0,36144000000.0,25577000000.0
dart_AdjustmentsForForeignExchangeGainLoss,외환거래손익,Adjustments for foreign exchange gain (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래손익,,,253340000000.0,274620000000.0,78180000000.0,61814000000.0,59156000000.0,70565000000.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매와관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매와관리비,,,-1023833000000.0,-1110899000000.0,-952720000000.0,-874030000000.0,-845076000000.0,-774945000000.0
ifrs-full_OtherOperatingIncomeExpense,기타의영업손익,Other operating income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타의영업손익,,,208280000000.0,207577000000.0,165011000000.0,218655000000.0,194621000000.0,233056000000.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,879160000000.0,901069000000.0,725757000000.0,689933000000.0,521357000000.0,550151000000.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,45909000000.0,112926000000.0,95107000000.0,26207000000.0,44345000000.0,12113000000.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,-74888000000.0,-89138000000.0,-100135000000.0,-129889000000.0,-125487000000.0,-81996000000.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,850181000000.0,924857000000.0,720729000000.0,586251000000.0,440215000000.0,480268000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-224266000000.0,-238219000000.0,-167681000000.0,-151253000000.0,-137287000000.0,-141768000000.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,625915000000.0,686638000000.0,553048000000.0,434998000000.0,302929000000.0,338500000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배주주지분순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,지배주주지분순이익,,,,686659000000.0,556440000000.0,,303418000000.0,
dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익,"Adjusted profit (loss), net of regulatory reserve for credit loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,대손준비금 반영후 조정이익,,,644556000000.0,704998000000.0,524061000000.0,402627000000.0,307290000000.0,342396000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순손실,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,비지배지분순손실,,,,-21000000.0,-3392000000.0,,-490000000.0,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-9851000000.0,146537000000.0,78161000000.0,64807000000.0,34606000000.0,-16496000000.0
ifrs-full_ComprehensiveIncome,당기총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익,,,616064000000.0,833175000000.0,631209000000.0,499805000000.0,337535000000.0,322004000000.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배주주지분포괄이익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익,지배주주지분포괄이익,,,833079000000.0,634626000000.0,,338022000000.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분포괄이익(손실),"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익,비지배지분포괄이익(손실),,,96000000.0,-3417000000.0,,-488000000.0,
ifrs-full_BasicEarningsLossPerShare,기본보통주당순이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본보통주당순이익,,1792.0,1966.0,1588.0,1241.0,881.0,983.0
ifrs-full_DilutedEarningsLossPerShare,희석보통주당순이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석보통주당순이익,,1792.0,1966.0,1588.0,1241.0,881.0,983.0
