"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1997127595121.0,72688143160111.0,1454079239690.0,77127197108585.0,8589818952952.0,84750203702240.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,,-67275203824815.0,,-70710293228346.0,,-77100911278385.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,,5412939335296.0,,6416903880239.0,,7649292423855.0
dart_TotalSellingGeneralAdministrativeExpenses,관리비및판매비,Selling and administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,관리비및판매비,,,,-3239366062392.0,,-2885481373800.0,,-2799239408089.0
ifrs-full_GeneralAndAdministrativeExpense,기타일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,관리비및판매비,기타일반관리비,,,-3004477992042.0,,-2651902263109.0,,-2504757582550.0
ifrs-full_DistributionAndAdministrativeExpense,판매및물류비,Distribution and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,관리비및판매비,판매및물류비,,,-234888070350.0,,-233579110691.0,,-294481825539.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1596420465635.0,2173573272904.0,1106629372680.0,3531422506439.0,1674892868684.0,4850053015766.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-256458411013.0,,269678297306.0,,676259957317.0
ifrs-full_FinanceIncomeCost,금융손익,Finance income and costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융손익,,,393557450562.0,130860091610.0,-90052832468.0,-372250179173.0,-41979030113.0,-970455170034.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융손익,금융수익,,482945857980.0,5211595217695.0,315827923316.0,3830746202107.0,392983980372.0,4834011249269.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융손익,금융비용,,-89388407418.0,-5080735126085.0,-405880755784.0,-4202996381280.0,-434963010485.0,-5804466419303.0
entity00155319_OtherNonOperatingProfitLossOfStatementOfComprehensiveIncomeAbstract,기타영업외손익,Other non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외손익,,,,-796771169352.0,,-793696588462.0,,-541491579994.0
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외손익,기타영업외수익,,3249299419.0,387105195100.0,23468571221.0,401986232067.0,33699482074.0,592017487230.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외손익,기타영업외비용,,-437150932135.0,-1183876364452.0,-356321891138.0,-1195682820529.0,-347129847650.0,-1133509067224.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before income taxes,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,1556076283481.0,1251203784149.0,683723220295.0,2635154036110.0,1319483472995.0,4014366223055.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,65206153303.0,-303623462097.0,115854338562.0,-789304503910.0,-1787335759294.0,-453882684360.0
