"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,36181794000000.0,36637031000000.0,35726694000000.0,35251031000000.0,42446028000000.0,42017079000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-34960135000000.0,-35411172000000.0,-33620949000000.0,-33149987000000.0,-38291440000000.0,-37865835000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1221659000000.0,1225859000000.0,2105745000000.0,2101044000000.0,4154588000000.0,4151244000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-802143000000.0,-803682000000.0,-751163000000.0,-750219000000.0,-749422000000.0,-748597000000.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,419516000000.0,422177000000.0,1354582000000.0,1350825000000.0,3405166000000.0,3402647000000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,653641000000.0,654546000000.0,802824000000.0,798390000000.0,1147592000000.0,1143706000000.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-965810000000.0,-971349000000.0,-826809000000.0,-821668000000.0,-1329905000000.0,-1324456000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,387511000000.0,389025000000.0,299062000000.0,297795000000.0,432487000000.0,432291000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-832766000000.0,-832799000000.0,-500292000000.0,-499962000000.0,-756627000000.0,-756360000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,5890000000.0,2338000000.0,,-171000000.0,
