"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,205562994885.0,1721564345604.0,1493474706830.0,83049107080.0,2296659590933.0,101125043177.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-13457937239.0,-1746498225689.0,-1485255933889.0,-10950741425.0,-1948646922314.0,-7254102948.0
ifrs-full_GrossProfit,매출총이익(손실),Gross profit(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익(손실),,,192105057646.0,-24933880085.0,8218772941.0,72098365655.0,348012668619.0,93870940229.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-48907647778.0,-251898974499.0,-221946768554.0,-49973683709.0,-176484064397.0,-19297948970.0
dart_OperatingIncomeLoss,영업손실,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업손실,,,143197409868.0,-276832854584.0,-213727995613.0,22124681946.0,171528604222.0,74572991259.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,15163022560.0,86945108563.0,67729807016.0,23122787524.0,89250962599.0,25247409400.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-137979636282.0,-356058003012.0,-220347931362.0,-48683870343.0,-190494757992.0,-50143928038.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-14185692096.0,-21298790643.0,,-73924185407.0,
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,13135380975.0,15205556472.0,10216990784.0,1563138929.0,197292220721.0,154368353410.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,-348125541499.0,-117051281608.0,-21186099294.0,-4601643985.0,-16885096718.0,-3772582198.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손실,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순손실,,,-314609364378.0,-661977166265.0,-398614019112.0,-6474905929.0,176767747425.0,200272243833.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세수익,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세수익,,,16354139276.0,83756258323.0,119462069436.0,70305308463.0,10058167840.0,12511139050.0
ifrs-full_ProfitLossFromContinuingOperations,계속사업당기순이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속사업당기순이익(손실),,,-298255225102.0,-578220907942.0,-279151949676.0,63830402534.0,186825915265.0,212783382883.0
ifrs-full_ProfitLossFromDiscontinuedOperations,세후중단영업이익(손실),Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,세후중단영업이익(손실),,,26038998407.0,123165366343.0,-47208067350.0,-69338224018.0,-211462742206.0,-94354033689.0
ifrs-full_ProfitLoss,당기순손실,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손실,,,-272216226695.0,-455055541599.0,-326360017026.0,-5507821484.0,-24636826941.0,118429349194.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주에게 귀속되는 지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업 소유주에게 귀속되는 지분,,,-443482911248.0,-275533847969.0,,-69056595178.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,비지배지분,,,-11572630351.0,-50826169057.0,,44419768237.0,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,185894035.0,223564662420.0,77249894761.0,-899976624.0,24889145266.0,4127117756.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Items that will not be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,185894035.0,-5945116074.0,-5588098922.0,-899976624.0,18447297055.0,4127117756.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,Items that may be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,229509778494.0,82837993683.0,,6441848211.0,
ifrs-full_ComprehensiveIncome,총포괄이익(손실),Comprehensive income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),,,-272030332660.0,-231490879179.0,-249110122265.0,-6407798108.0,252318325.0,122556466950.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주에게 귀속되는 지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익 [개요],지배기업 소유주에게 귀속되는 지분,,,-236644112130.0,-199095747520.0,,-54998786842.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Total comprehensive income for the year attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익 [개요],비지배지분,,,5153232951.0,-50014374745.0,,55251105167.0,
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,계속영업기본주당이익(손실),,-8766.0,-16663.0,-6749.0,1877.0,3927.0,5969.0
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,중단영업기본주당이익(손실),,765.0,3630.0,-1356.0,-2039.0,-5864.0,-2647.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,계속영업희석주당이익(손실),Diluted earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,계속영업희석주당이익(손실),,-8766.0,-16663.0,-6749.0,1876.0,3922.0,5961.0
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,중단영업희석주당이익(손실),Diluted earnings (loss) per share from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,중단영업희석주당이익(손실),,765.0,3630.0,-1356.0,-2038.0,33.0,-2643.0
