"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,3706767000000.0,124690439000000.0,4137030000000.0,128798468000000.0,132079354000000.0,3369784000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,,113998912000000.0,,116609571000000.0,116435597000000.0,
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,,10691527000000.0,,12188897000000.0,15643757000000.0,
ifrs-full_OtherRevenue,기타영업수익,Other revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업수익,,,,292358000000.0,,617038000000.0,0.0,
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,,8628595000000.0,,8051953000000.0,7482491000000.0,
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,998339000000.0,2355290000000.0,1550461000000.0,4753982000000.0,8161266000000.0,1108689000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,285710000000.0,6813064000000.0,412272000000.0,7085648000000.0,9126339000000.0,209369000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,711648000000.0,10177513000000.0,796770000000.0,9452684000000.0,11961154000000.0,1203133000000.0
ifrs-full_ShareOfProfitLossOfContinuingOperationsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,"Gain on investments in associates and joint ventures, net",ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,3812030000000.0,,-2359480000000.0,84241000000.0,
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,67934000000.0,1594191000000.0,32430000000.0,1184698000000.0,1838443000000.0,405423000000.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,1186781000000.0,3300505000000.0,759686000000.0,2065782000000.0,1349122000000.0,72579000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전계속영업순이익,,,-546446000000.0,1096557000000.0,438707000000.0,-853618000000.0,5900013000000.0,447769000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,계속영업법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업법인세비용(수익),,,199447000000.0,747752000000.0,75733000000.0,570636000000.0,2375596000000.0,-96646000000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업분기연결순이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업분기연결순이익(손실),,,,348805000000.0,,-1424254000000.0,3524417000000.0,
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익,Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업이익,,,,180005000000.0,,1017867000000.0,441759000000.0,
ifrs-full_ProfitLoss,당기연결순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결순이익,,,-745893000000.0,528810000000.0,362974000000.0,-406387000000.0,3966176000000.0,544415000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,Profit for the year attributable to owners of the parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결총포괄이익(손실) [개요],지배기업소유주지분,,,-1292684000000.0,,-776798000000.0,1098683000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit for the year Attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결총포괄이익(손실) [개요],비지배지분,,,1821494000000.0,,370411000000.0,2867493000000.0,
ifrs-full_OtherComprehensiveIncome,당기연결기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결기타포괄손익,,,-217845000000.0,4950313000000.0,-8722000000.0,-202628000000.0,-589857000000.0,209677000000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Items that will not be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-217845000000.0,-659611000000.0,-8722000000.0,-804837000000.0,-1817830000000.0,209677000000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,Items that may be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,5609924000000.0,,602209000000.0,1227973000000.0,
