"('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,당기손익(*1) [개요],영업수익,,1906611000000.0,177465000000.0,2276508000000.0,177597000000.0,591185000000.0,2370553000000.0
ifrs-full_RevenueFromContractsWithCustomers,매출액,Revenue,당기손익(*1) [개요],영업수익,매출액,1906611000000.0,,2276508000000.0,,,2370553000000.0
ifrs-full_OperatingExpense,영업비용,Operating expense,당기손익(*1) [개요],영업비용,,2100778000000.0,64932000000.0,2563613000000.0,83592000000.0,74853000000.0,2719127000000.0
ifrs-full_EmployeeBenefitsExpense,종업원급여,Employee benefits expense,당기손익(*1) [개요],영업비용,종업원급여,403820000000.0,34273000000.0,455471000000.0,47592000000.0,43765000000.0,474786000000.0
dart_Commissions,지급수수료,Commissions,당기손익(*1) [개요],영업비용,지급수수료,469562000000.0,21122000000.0,583431000000.0,24488000000.0,21254000000.0,631050000000.0
ifrs-full_DepreciationAndAmortisationExpense,감가상각비,Depreciation and amortisation expense,당기손익(*1) [개요],영업비용,감가상각비,95033000000.0,4228000000.0,88428000000.0,3772000000.0,3124000000.0,97126000000.0
ifrs-full_TransportationExpense,운송비,Transportation expense,당기손익(*1) [개요],영업비용,운송비,229303000000.0,,276950000000.0,,,442284000000.0
dart_AdvertisingExpenses,광고선전비,Advertising expenses,당기손익(*1) [개요],영업비용,광고선전비,136024000000.0,212000000.0,168357000000.0,342000000.0,438000000.0,242726000000.0
entity01596425_udf_IS_2024217202026156OfOperatingExpense,상품및기타구입비용,Goods and other purchasing costs,당기손익(*1) [개요],영업비용,상품및기타구입비용,644658000000.0,,873116000000.0,,,710584000000.0
dart_OtherOperatingExpense,기타영업비용,Other operating expense,당기손익(*1) [개요],영업비용,기타영업비용,122378000000.0,5097000000.0,117860000000.0,7398000000.0,6272000000.0,120571000000.0
ifrs-full_AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod,지분법손익,Adjustments for undistributed profits of investments accounted for using equity method,당기손익(*1) [개요],지분법손익,,4106750000000.0,,-2052593000000.0,,,364626000000.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,당기손익(*1) [개요],지분법손익,지분법이익,4231860000000.0,,1947000000.0,,,473686000000.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,당기손익(*1) [개요],지분법손익,지분법손실,-125110000000.0,,-2054540000000.0,,,-109060000000.0
