"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,217864619000.0,128866761000.0,318683100000.0,648322214000.0,584676345000.0,309626992000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,379734746000.0,243177928000.0,335422210000.0,491447802000.0,516874719000.0,344390568000.0
ifrs-full_GrossProfit,매출총이익(손실),Gross profit(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익(손실),,,-161870127000.0,-114311167000.0,-16739110000.0,156874412000.0,67801626000.0,-34763576000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,129124052000.0,100095146000.0,75174177000.0,106747067000.0,85728819000.0,58569187000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,-290994179000.0,-214406313000.0,-91913287000.0,50127345000.0,-17927193000.0,-93332763000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,62314851000.0,29995824000.0,88241186000.0,146457876000.0,128942355000.0,59881833000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,85268343000.0,27684911000.0,32530232000.0,88158829000.0,135895834000.0,52115020000.0
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,6624353000.0,785487000.0,538617000.0,11387154000.0,54061808000.0,2901652000.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,6012153000.0,143357000.0,82681000.0,2918374000.0,3137813000.0,1126017000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업이익(손실),Income (Loss) from Continuing Operations Before Income Taxes,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전계속영업이익(손실),,,-313335471000.0,-211453270000.0,-35746397000.0,116895172000.0,26043323000.0,-83790315000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,계속영업법인세비용(효익),Tax expense (income) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업법인세비용(효익),,,-68963116000.0,-49231781000.0,-10156867000.0,20333028000.0,7760822000.0,-17067631000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익(손실),Net income (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업당기순이익(손실),,,-244372355000.0,-162221489000.0,-25589530000.0,96562144000.0,18282501000.0,-66722684000.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손익,Gains(Losses) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업손익,,,-2242881000.0,-2242881000.0,-14404141000.0,-14404141000.0,-47963543000.0,-47963543000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,-246615236000.0,-164464370000.0,-39993671000.0,82158003000.0,-29681042000.0,-114686227000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,Profit for the year attributable to owners of the parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),지배기업소유주지분,,-246615236000.0,,,82158003000.0,-29681042000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit for the year Attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),비지배지분,,0.0,,,0.0,0.0,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,161872312000.0,-1403430000.0,-2013386000.0,154052023000.0,-12348108000.0,-454774000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Items that will not be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-1403430000.0,-1403430000.0,-2013386000.0,-2013386000.0,-454773000.0,-454774000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,Items that may be reclassified to profit or loss in subsequent periods (net of tax),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,163275742000.0,,,156065409000.0,-11893335000.0,
ifrs-full_ComprehensiveIncome,총포괄이익(손실),Comprehensive income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),,,-84742924000.0,-165867800000.0,-42007057000.0,236210026000.0,-42029150000.0,-115141001000.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,Total comprehensive income for the year attributable to owners of the parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),지배기업소유주지분,,-84742924000.0,,,236210026000.0,-42029150000.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Total comprehensive income for the year attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),비지배지분,,0.0,,,0.0,0.0,
ifrs-full_BasicEarningsLossPerShare,보통주 기본주당이익(손실),"Basic earnings (loss) per share, ordinary shares",ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익(손실),보통주 기본주당이익(손실),,-3460.0,,,1152.0,-416.0,
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,보통주 계속영업 기본주당이익(손실),Basic earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익(손실),보통주 계속영업 기본주당이익(손실),,-3428.0,-2275.0,-359.0,1354.0,256.0,-962.0
