"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1874893743000.0,74716970174000.0,77288485864000.0,2489429998000.0,1983533544000.0,78056939448000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1045078776000.0,70677947847000.0,72274467900000.0,986312507000.0,1136012366000.0,71029732813000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,829814967000.0,4039022327000.0,5014017964000.0,1503117491000.0,847521178000.0,7027206635000.0
dart_OtherOperatingIncome,기타영업수익,Other operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업수익,,,,292357877000.0,617038467000.0,,,0.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,336587767000.0,4015891866000.0,3727170111000.0,267645733000.0,236149293000.0,3109865846000.0
dart_BadDebtExpensesSellingGeneralAdministrativeExpenses,대손상각비(환입),"Bad debt expenses(Reversal Allowance Doubtful Accounts), selling and general administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,대손상각비(환입),,,195980000.0,-2518292000.0,,,420580000.0
dart_MiscellaneousExpenses,기타판매비와관리비,Miscellaneous expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,기타판매비와관리비,,,4015695886000.0,3729688403000.0,,,3109445266000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,493227200000.0,315488338000.0,1903886320000.0,1235471758000.0,611371885000.0,3917340789000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,236631044000.0,4650657164000.0,5243218409000.0,151760820000.0,187584927000.0,7097499573000.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,300911375000.0,6397890465000.0,6177987935000.0,232730148000.0,173990504000.0,8107091953000.0
ifrs-full_AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod,지분법손익,Adjustments for undistributed profits of investments accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-430284503000.0,133027020000.0,,,2282670000.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,32755521000.0,182822200000.0,152458480000.0,6186268000.0,14676190000.0,187155011000.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,135636336000.0,700636357000.0,322417291000.0,25161241000.0,37546439000.0,236995813000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,344286664000.0,-2379843623000.0,932185003000.0,1144601154000.0,602096059000.0,2860190277000.0
