"('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D320000] 손익계산서, 성격별 분류 - 연결 | Income statement, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,당기손익 [개요],영업수익,,12774060000000.0,17940609000000.0,12589220000000.0,17608511000000.0,12414588000000.0,17304973000000.0
entity00159023_udf_IS_202442916432406OfRevenue,매출액,Revenue,당기손익 [개요],영업수익,매출액,,17940609000000.0,,17608511000000.0,,17304973000000.0
ifrs-full_OperatingExpense,영업비용,Operating expense,당기손익 [개요],영업비용,,11250885000000.0,16117200000000.0,11133350000000.0,15855307000000.0,11093457000000.0,15692903000000.0
ifrs-full_EmployeeBenefitsExpense,종업원급여,Employee benefits,당기손익 [개요],영업비용,종업원급여,1139968000000.0,2725765000000.0,943924000000.0,2488245000000.0,992964000000.0,2449813000000.0
dart_Commissions,지급수수료,Commissions,당기손익 [개요],영업비용,지급수수료,4773925000000.0,5564289000000.0,4831879000000.0,5549899000000.0,4792121000000.0,5518786000000.0
ifrs-full_DepreciationExpense,감가상각비,Depreciation expense,당기손익 [개요],영업비용,감가상각비,2645850000000.0,3560374000000.0,2698436000000.0,3614766000000.0,2693630000000.0,3621325000000.0
dart_NetworkContactSettleExpense,망접속정산비용,Network contact settle expense,당기손익 [개요],영업비용,망접속정산비용,463783000000.0,692881000000.0,490114000000.0,678459000000.0,532621000000.0,715285000000.0
dart_ExclusiveLineUseExpense,전용회선료 및 전파사용료,Exclusive line use expense and radio usage fee,당기손익 [개요],영업비용,전용회선료 및 전파사용료,193896000000.0,265518000000.0,189059000000.0,275477000000.0,191212000000.0,268426000000.0
dart_AdvertisingExpenses,광고선전비,Advertising expenses,당기손익 [개요],영업비용,광고선전비,136723000000.0,186340000000.0,174403000000.0,235769000000.0,161294000000.0,252402000000.0
ifrs-full_RentalExpense,지급임차료,Payment of rental expense,당기손익 [개요],영업비용,지급임차료,122499000000.0,136753000000.0,127182000000.0,142356000000.0,121067000000.0,143747000000.0
dart_MediaPurchaseExpense,상품 및 기타구입비용,Investments and other purchase expense,당기손익 [개요],영업비용,상품 및 기타구입비용,600190000000.0,1326159000000.0,548155000000.0,1266357000000.0,544286000000.0,1268124000000.0
dart_MiscellaneousExpenses,기타영업비용,Other operating expenses,당기손익 [개요],영업비용,기타영업비용,1174051000000.0,1659121000000.0,1130198000000.0,1603979000000.0,1064262000000.0,1454995000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,당기손익 [개요],영업이익,,1523175000000.0,1823409000000.0,1455870000000.0,1753204000000.0,1321131000000.0,1612070000000.0
