"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,66192960000000.0,55736287000000.0,32765719000000.0,27639997000000.0,37878699000000.0,44621568000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,34364814000000.0,28156175000000.0,33299167000000.0,27192878000000.0,24072129000000.0,28993713000000.0
ifrs-full_GrossProfit,매출총이익(손실),Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익(손실),,,31828146000000.0,27580112000000.0,-533448000000.0,447119000000.0,13806570000000.0,15627855000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,8360827000000.0,6248660000000.0,7196865000000.0,5119243000000.0,6145623000000.0,8818438000000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,23467319000000.0,21331452000000.0,-7730313000000.0,-4672124000000.0,7660947000000.0,6809417000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,4855082000000.0,4848298000000.0,2261801000000.0,2189851000000.0,3300311000000.0,3714278000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,5707997000000.0,5085118000000.0,6093167000000.0,5133547000000.0,3570784000000.0,5091553000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법투자 관련 손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법투자 관련 손익,,,-38245000000.0,,15061000000.0,,,131186000000.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,1476579000000.0,290717000000.0,623867000000.0,330240000000.0,300267000000.0,241371000000.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,167388000000.0,114170000000.0,735065000000.0,293122000000.0,3223701000000.0,1801919000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,23885350000000.0,21271179000000.0,-11657816000000.0,-7578702000000.0,4467040000000.0,4002780000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,4088448000000.0,3630783000000.0,-2520269000000.0,-2742532000000.0,1676583000000.0,1761111000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,19796902000000.0,17640396000000.0,-9137547000000.0,-4836170000000.0,2790457000000.0,2241669000000.0
ifrs-full_OtherComprehensiveIncome,법인세차감후 기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감후 기타포괄손익,,,1247520000000.0,-259049000000.0,100051000000.0,-38433000000.0,327890000000.0,580499000000.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감후 기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감후 기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄이익(손실),Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익(손실),,,21044422000000.0,17381347000000.0,-9037496000000.0,-4874603000000.0,3118347000000.0,2822168000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주지분,,19788681000000.0,,-9112428000000.0,,,2229560000000.0
