"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),,,1425759914542.0,1426862781802.0,1388572378274.0,1387518282198.0,1269418093650.0,1270685819109.0
ifrs-full_RevenueFromSaleOfGoods,재화의 판매로 인한 수익(매출액),Revenue from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),재화의 판매로 인한 수익(매출액),,12935058093.0,12935058093.0,12568594403.0,12568594403.0,10384224247.0,10384224247.0
ifrs-full_RevenueFromRenderingOfServices,용역의 제공으로 인한 수익(매출액),Revenue from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),용역의 제공으로 인한 수익(매출액),,1412824856449.0,1413927723709.0,1376003783871.0,1374949687795.0,1259033869403.0,1260301594862.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1006590296293.0,1007977631497.0,979376845104.0,978196818047.0,920725951857.0,921790726863.0
dart_CostOfSalesFromSaleOfGoods,재화의 판매로 인한 수익(매출액)에 대한 매출원가,Cost of sales from sale of goods,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,재화의 판매로 인한 수익(매출액)에 대한 매출원가,,7676815793.0,7676815793.0,7120625941.0,7120625941.0,5884226437.0,5884226437.0
dart_CostOfSalesFromRenderingOfServices,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,Cost of sales from rendering of services,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,,998913480500.0,1000300815704.0,972256219163.0,971076192106.0,914841725420.0,915906500426.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,419169618249.0,418885150305.0,409195533170.0,409321464151.0,348692141793.0,348895092246.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,132654819904.0,133094695589.0,126932518310.0,126149620155.0,130753709997.0,131329878046.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,286514798345.0,285790454716.0,282263014860.0,283171843996.0,217938431796.0,217565214200.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,129013773385.0,129145381901.0,6118901347.0,6264154887.0,4565579365.0,4619008271.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,26157256174.0,26180513905.0,27164225649.0,26828473333.0,22691153917.0,22935422297.0
entity00255619_udf_IS_202031915332780_StatementOfComprehensiveIncomeAbstract,기타손익,in addition gains(losses),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손익,,,,688039553.0,-5253101257.0,,,165207870.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,178800038699.0,178935253342.0,215860337772.0,215542760651.0,27717292497.0,27982479130.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,2261325029.0,2765884797.0,7658834198.0,7273092860.0,59520152367.0,59771596776.0
entity00255619_udf_IS_2020319145511974_StatementOfComprehensiveIncomeAbstract,관계기업.공동기업 관련 손실,"Other income (expense) from subsidiaries, jointly controlled",ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업.공동기업 관련 손실,,,,-266391052.0,-6924711590.0,,,226935972.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,565571727606.0,565346339758.0,457241381285.0,451991787382.0,168028990252.0,167851826370.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,107771442118.0,108453172173.0,116360620115.0,116104210620.0,52141434946.0,52239058482.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,457800285488.0,456893167585.0,340880761170.0,335887576762.0,115887555306.0,115612767888.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의소유주에게귀속되는당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),지배기업의소유주에게귀속되는당기순이익(손실),,,456895295638.0,340898540408.0,,,115617118433.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에귀속되는당기순손실,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),비지배지분에귀속되는당기순손실,,,-2128053.0,-17779238.0,,,-4350545.0
ifrs-full_OtherComprehensiveIncome,기타포괄손이익(손실),Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손이익(손실),,,-22856167745.0,-22575900920.0,-7399196347.0,-6986985397.0,46604706623.0,46972521648.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손이익(손실),후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,434944117743.0,434317266665.0,333481564823.0,328900591365.0,162492261929.0,162585289536.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,,434319516733.0,333499400722.0,,,162589285874.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,,-2250068.0,-17835899.0,,,-3996338.0
ifrs-full_BasicEarningsLossPerShare,기본및희석주당손익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본및희석주당손익,,2262.0,2257.0,1681.0,1657.0,572.0,570.0
