"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,Ⅰ.매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅰ.매출액,,,12052918410249.0,8089016782445.0,7291069464175.0,9704521343024.0,11219358600107.0,8081377635065.0
ifrs-full_CostOfSales,Ⅱ.매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅱ.매출원가,,,10912123098725.0,7048449697749.0,6432522381373.0,8742576276712.0,10050403463407.0,7015120116466.0
ifrs-full_GrossProfit,Ⅲ.매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅲ.매출총이익,,,1140795311524.0,1040567084696.0,858547082802.0,961945066312.0,1168955136700.0,1066257518599.0
dart_TotalSellingGeneralAdministrativeExpenses,Ⅳ.판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅳ.판매비와관리비,,,417323103001.0,226673022880.0,151154619941.0,302009641714.0,249784005878.0,134893434923.0
dart_OperatingIncomeLoss,Ⅴ.영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅴ.영업이익,,,723472208523.0,813894061816.0,707392462861.0,659935424598.0,919171130822.0,931364083676.0
entity00102858_udf_IS_2024212161255204OfStatementOfComprehensiveIncomeAbstract,Ⅵ.기타손익,Net other income (expenses),ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅵ.기타손익,,,-79921934214.0,,,-19022023450.0,-33370658055.0,
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,118277551221.0,180110279519.0,85785557979.0,119917130688.0,181847044647.0,154216006806.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-198199485435.0,-321265566357.0,-187130748672.0,-138939154138.0,-215217702702.0,-183232898569.0
entity00102858_NetFinanceIncomeCostsOfStatementOfComprehensiveIncomeAbstract,Ⅶ.금융손익,Net finance income (costs),ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅶ.금융손익,,,-240338175257.0,,,115897646653.0,-34513095692.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,258791100626.0,162778531429.0,256442466330.0,323070204057.0,331517511475.0,141076492675.0
