"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Sales revenue,ifrs-full:IncomeStatementAbstract,매출액,,7155003786012.0,4854274755589.0,4196148138989.0,6322528187782.0,7975625981021.0,5086855585805.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,6569448551818.0,4456519593472.0,3768541355633.0,5676662262889.0,6549231666570.0,4240192911060.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,585555234194.0,397755162117.0,427606783356.0,645865924893.0,1426394314451.0,846662674745.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,312750926606.0,208119757613.0,195038874794.0,286904042933.0,279082257952.0,190457171316.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익,,272804307588.0,189635404504.0,232567908562.0,358961881960.0,1147312056499.0,656205503429.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,121833650881.0,183183059193.0,158476198957.0,92157309455.0,131185998512.0,185628707577.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,88379374406.0,60554701597.0,55313988163.0,91415499680.0,139989610144.0,83428555731.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,77488480681.0,37364844916.0,35046973586.0,74602457347.0,93150503127.0,53806283381.0
ifrs-full_FinanceCosts,금융비용,Financial expenses,ifrs-full:IncomeStatementAbstract,금융비용,,69556345344.0,48369218616.0,35091725125.0,60355470349.0,102296753530.0,64893267917.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,93422863565.0,,,111132065526.0,125009070762.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,407613582965.0,301259388400.0,335685367817.0,485082744259.0,1254371265226.0,747318670739.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,59011569563.0,40301814028.0,32713259256.0,38039208143.0,234251372649.0,167117069690.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,348602013402.0,260957574372.0,302972108561.0,447043536116.0,1020119892577.0,580201601049.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분순이익,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익,지배기업소유주지분순이익,348621508633.0,,,446820153023.0,1019861901806.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,Profit attributable to non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익,비지배지분순이익,-19495231.0,,,223383093.0,257990771.0,
ifrs-full_BasicEarningsLossPerShare,보통주 기본주당이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당손익,보통주 기본주당이익,13328.0,9972.0,11340.0,16727.0,37087.0,21097.0
dart_BasicEarningsLossPerSharePreferredStock,우선주 기본주당이익,Basic earnings per share(preferred stock),ifrs-full:IncomeStatementAbstract,주당손익,우선주 기본주당이익,13423.0,10087.0,11554.0,17019.0,37693.0,21463.0
