"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Sales,ifrs-full:IncomeStatementAbstract,매출액,,107448752000000.0,63256745000000.0,58519958000000.0,99808420000000.0,86559029000000.0,46409721000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,82677981000000.0,46968990000000.0,45195702000000.0,77179573000000.0,68536010000000.0,37273052000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,24770771000000.0,16287755000000.0,13324256000000.0,22628847000000.0,18023019000000.0,9136669000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,12103632000000.0,7788225000000.0,7018591000000.0,11020974000000.0,10789899000000.0,6135783000000.0
ifrs-full_SellingExpense,판매비,Selling expense,ifrs-full:IncomeStatementAbstract,판매비와관리비,판매비,7043758000000.0,3996041000000.0,3652682000000.0,6507272000000.0,6935135000000.0,3271885000000.0
ifrs-full_GeneralAndAdministrativeExpense,관리비,General and administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,관리비,5059874000000.0,3792184000000.0,3365909000000.0,4513702000000.0,3854764000000.0,2863898000000.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:IncomeStatementAbstract,영업이익,,12667139000000.0,8499530000000.0,6305665000000.0,11607873000000.0,7233120000000.0,3000886000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,공동기업 및 관계기업투자손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,공동기업 및 관계기업투자손익,,395366000000.0,,,683748000000.0,363650000000.0,
entity00106641_FinanceGainsAndLossesOfIncomeStatementAbstract,금융손익,Finance gains and losses,ifrs-full:IncomeStatementAbstract,금융손익,,741587000000.0,,,871081000000.0,-57934000000.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융손익,금융수익,1351206000000.0,713425000000.0,528933000000.0,1263092000000.0,604430000000.0,301898000000.0
ifrs-full_FinanceCosts,금융비용,Finance expenses,ifrs-full:IncomeStatementAbstract,금융손익,금융비용,609619000000.0,438996000000.0,259080000000.0,392011000000.0,662364000000.0,480359000000.0
entity00106641_FinanceCostsOfIncomeStatementAbstract,기타손익,Other gains and losses,ifrs-full:IncomeStatementAbstract,기타손익,,-303891000000.0,,,-485358000000.0,-36843000000.0,
dart_AdjustmentsForOtherRevenue,기타수익,Other revenue,ifrs-full:IncomeStatementAbstract,기타손익,기타수익,1125955000000.0,845200000000.0,262928000000.0,588090000000.0,810452000000.0,552589000000.0
ifrs-full_OtherExpenseByNature,기타비용,"Other expenses, by nature",ifrs-full:IncomeStatementAbstract,기타손익,기타비용,1429846000000.0,947383000000.0,676398000000.0,1073448000000.0,847295000000.0,568706000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before income taxes,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,13500201000000.0,8790371000000.0,9903853000000.0,12677344000000.0,7501993000000.0,2639370000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,3725196000000.0,2082504000000.0,1879862000000.0,3899527000000.0,2093017000000.0,685857000000.0
ifrs-full_ProfitLoss,당기순이익,Profit for the year,ifrs-full:IncomeStatementAbstract,당기순이익,,9775005000000.0,6707867000000.0,8023991000000.0,8777817000000.0,5408976000000.0,1953513000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분순이익,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속 [개요],지배기업소유주지분순이익,9772957000000.0,,,8776970000000.0,5409429000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속 [개요],비지배지분순이익,2048000000.0,,,847000000.0,-453000000.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],기본주당이익,24893.0,17086.0,20266.0,22168.0,13495.0,4873.0
