"('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_InterestRevenueExpense,순이자손익,Interest income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,7276090000000.0,7891889000000.0,7466725000000.0,7926564000000.0,7443686000000.0,7040667000000.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,17287025000000.0,18954860000000.0,16827179000000.0,18364055000000.0,12602491000000.0,11455746000000.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-10010935000000.0,-11062971000000.0,-9360454000000.0,-10437491000000.0,-5158805000000.0,-4415079000000.0
ifrs-full_FeeAndCommissionIncomeExpense,순수수료손익,Net fee and commission income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,,,335340000000.0,472055000000.0,330663000000.0,476972000000.0,571798000000.0,360397000000.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료수익,,679417000000.0,863661000000.0,654289000000.0,852249000000.0,905105000000.0,657464000000.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료비용,,-344077000000.0,-391606000000.0,-323626000000.0,-375277000000.0,-333307000000.0,-297067000000.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익금융상품 관련 순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익금융상품 관련 순손익,,,283706000000.0,448656000000.0,419885000000.0,828667000000.0,205840000000.0,103302000000.0
entity00149646_udf_IS_202434204128176OfStatementOfComprehensiveIncomeAbstract,당기손익인식지정금융상품 관련 순손익,"Gain (loss) financial instruments at fair value through profit or loss, designated upon initial recognition or subsequently",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익인식지정금융상품 관련 순손익,,,,-75719000000.0,,-63052000000.0,22810000000.0,
dart_GainLossFromDerivativesHeldForHedging,위험회피회계 관련 순손익,Gain (loss) from derivatives held for hedging,ifrs-full:StatementOfComprehensiveIncomeAbstract,위험회피회계 관련 순손익,,,13203000000.0,-133620000000.0,33475000000.0,8278000000.0,-84691000000.0,-19367000000.0
ifrs-full_GainLossArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,상각후원가금융자산 처분손익,Gain (loss) arising from derecognition of financial assets measured at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가금융자산 처분손익,,,150110000000.0,160405000000.0,223596000000.0,217036000000.0,187232000000.0,192474000000.0
