"('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,Ⅰ.영업수익,Operating revenues,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅰ.영업수익,,,1082436338723.0,2663783169910.0,797272366073.0,2502055599771.0,2673408275832.0,962604794204.0
ifrs-full_OperatingExpense,Ⅱ.영업비용,Operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅱ.영업비용,,,1033435191316.0,2448155954722.0,838984565097.0,2570523784080.0,2782096874521.0,975811757257.0
dart_OperatingIncomeLoss,Ⅲ.영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅲ.영업이익(손실),,,49001147407.0,215627215188.0,-41712199024.0,-68468184309.0,-108688598689.0,-13206963053.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,266519268218.0,76937305989.0,258874386405.0,73163290283.0,327470220672.0,360906046863.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,118614476151.0,192308330172.0,206234794817.0,261959430885.0,475654331215.0,418587555501.0
dart_OtherGains,영업외수익,Other non-operating revenues,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,189784152587.0,179916365171.0,424532555941.0,351035886413.0,6528919924.0,19950004619.0
dart_OtherLosses,영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,31683638013.0,312577504689.0,161557033018.0,365224432682.0,771351813228.0,538152036352.0
entity00904672_ShareofprofitlossofassociatesandjointventuresaccountedforusingequitymethodOfStatementOfComprehensiveIncomeAbstract,지분법손익,Equity income on investments,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,108700300561.0,,112849175632.0,80221923346.0,
ifrs-full_ProfitLossBeforeTax,Ⅳ.법인세비용차감전순이익(손실),Profit before income tax expense (benefit),ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅳ.법인세비용차감전순이익(손실),,,355006454048.0,76295352048.0,273902915487.0,-158603695548.0,-941473679190.0,-589090503424.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense (benefit),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,41325409360.0,73079163930.0,40518699291.0,145281540845.0,-55116118797.0,-55322199922.0
ifrs-full_ProfitLoss,Ⅴ.당기순이익(손실),Net income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅴ.당기순이익(손실),,,313681044688.0,3216188118.0,233384216196.0,-303885236393.0,-886357560393.0,-533768303502.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업순손익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅴ.당기순이익(손실),지배기업순손익,,,25640335233.0,,-255670899774.0,-819182306260.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순손익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅴ.당기순이익(손실),비지배지분순손익,,,-22424147115.0,,-48214336619.0,-67175254133.0,
