"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,407807117931.0,320722848447.0,393188581139.0,317475206661.0,355865975045.0,285310920748.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,147555911290.0,143369510016.0,114349186905.0,120897541656.0,95189764798.0,102308494074.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,260251206641.0,177353338431.0,278839394234.0,196577665005.0,260676210247.0,183002426674.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,161753843178.0,106726962095.0,140560137436.0,84934868989.0,134973610028.0,73644957067.0
dart_BadDebtExpensesSellingGeneralAdministrativeExpenses,대손상각비,Bad debt expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,대손상각비,,276228603.0,9427798294.0,-4817811948.0,-7010416143.0,11956117801.0,-1642664284.0
entity00526599_ExceptBadDebtExpensesSellingAndGeneralAdministrativeExpensesOfTotalSellingGeneralAdministrativeExpenses,대손상각비 외,Except bad debt expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,대손상각비 외,,161477614575.0,,145377949384.0,,123017492227.0,
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,98497363463.0,70626376336.0,138279256798.0,111642796016.0,125702600219.0,109357469607.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,2453492018.0,787096880.0,5289221679.0,9292664131.0,2888516458.0,579217382.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,18772353316.0,43820256676.0,3466989669.0,8455037289.0,3081452006.0,20612121149.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,26823416101.0,23955904669.0,8617776981.0,6126143747.0,13937624202.0,11849633140.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,14543699848.0,11082648719.0,14239052535.0,12460473912.0,21052509881.0,13702868003.0
ifrs-full_GainsLossesOnNetMonetaryPosition,초인플레이션으로 인한 순화폐성 항목에서 발생하는 이익(손실),Gains (losses) on net monetary position,ifrs-full:StatementOfComprehensiveIncomeAbstract,초인플레이션으로 인한 순화폐성 항목에서 발생하는 이익(손실),,,-525685441.0,,0.0,,0.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,93932532977.0,40466472490.0,134480213254.0,106146092693.0,118394778992.0,87471330977.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,21522379058.0,13732983682.0,37954241147.0,33570419060.0,32250961287.0,25975287084.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,72410153919.0,26733488808.0,96525972107.0,72575673633.0,86143817705.0,61496043893.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,18057963594.0,-491010742.0,120039594.0,-677194146.0,-1922532778.0,-226958789.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 (세후),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 (세후),,-491010742.0,-491010742.0,-677194146.0,-677194146.0,-226958789.0,-226958789.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 (세후),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 (세후),,18548974336.0,0.0,797233740.0,0.0,-1695573989.0,0.0
ifrs-full_ComprehensiveIncome,총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익,,,90468117513.0,26242478066.0,96646011701.0,71898479487.0,84221284927.0,61269085104.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주 지분,Owner's share of the parent company,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,지배기업 소유주 지분,,72710126074.0,,96524197067.0,,86066136123.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interest,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,비지배지분,,-299972155.0,,1775040.0,,77681582.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주 지분,Owner's share of the parent company,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익의 귀속,지배기업 소유주 지분,,90899189040.0,,96658279232.0,,84196881262.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Non-controlling interest,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익의 귀속,비지배지분,,-431071527.0,,-12267531.0,,24403665.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익,,8431.0,3100.0,11193.0,8416.0,9980.0,7131.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익,,8431.0,3100.0,11193.0,8416.0,9980.0,7131.0
