"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,488860392545.0,450802406984.0,451270760628.0,489695541569.0,556486608719.0,516898545552.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-403357063990.0,-371555227028.0,-371408530445.0,-403351554750.0,-474749979557.0,-443409198458.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,85503328555.0,79247179956.0,79862230183.0,86343986819.0,81736629162.0,73489347094.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-41026361399.0,-38222119229.0,-39852878674.0,-42591499979.0,-42561551095.0,-38789237659.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,44476967156.0,41025060727.0,40009351509.0,43752486840.0,39175078067.0,34700109435.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,9658026455.0,7578805666.0,5572239036.0,7008449748.0,7200154324.0,5438239545.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,,-4051281342.0,-3404356679.0,-3471424248.0,-4132749192.0,-7269654062.0,-6490027227.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,96778821581.0,99419712876.0,90417715639.0,86417387774.0,74541510222.0,82293944463.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,30379013631.0,29622476031.0,28746421277.0,30497229197.0,16105683114.0,10732983593.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-258636931.0,-116705580.0,-109032289.0,-212739783.0,-416350751.0,-308984253.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,176982910550.0,174124993041.0,161165270924.0,163330064584.0,129336420914.0,126366265556.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-17936645898.0,-16873850265.0,-16107263985.0,-17027762139.0,40274627845.0,41489586158.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,159046264652.0,157251142776.0,145058006939.0,146302302445.0,169611048759.0,167855851714.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배주주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,지배주주지분,,157251142776.0,,,144859290393.0,167855851714.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익의 귀속,비지배지분,,1795121876.0,,,1443012052.0,1755197045.0,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,6060925382.0,6120780724.0,4709878199.0,4604108283.0,-2056401066.0,-2160597384.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,165107190034.0,163371923500.0,149767885138.0,150906410728.0,167554647693.0,165695254330.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배주주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],지배주주지분,,163371923500.0,,,149569168592.0,165695254330.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],비지배지분,,1735266534.0,,,1337242136.0,1859393363.0,
