"('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,8413294214738.0,13986578270060.0,14555863880290.0,8648595514393.0,15476035656554.0,8814417014838.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-3712752554673.0,-7251356165066.0,-7781158641115.0,-3873372901306.0,-8662606266375.0,-4137606723861.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,4700541660065.0,6735222104994.0,6774705239175.0,4775222613087.0,6813429390179.0,4676810290977.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"Selling, general and administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-4317619188110.0,-6249344852261.0,-6263902178344.0,-4292477670423.0,-6424519191456.0,-4337355083590.0
dart_BadDebtExpenses,대손상각비,Reversal Allowance Doubtful Accounts,ifrs-full:StatementOfComprehensiveIncomeAbstract,대손상각비,,,-2071219686.0,-12763287953.0,-2398329191.0,-525700323.0,-2684604113.0,-1855904315.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,380851252269.0,473113964780.0,508404731640.0,482219242341.0,386225594610.0,337599303072.0
dart_OtherGains,기타수익,Other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,147792618174.0,225525444554.0,181663076883.0,194695418785.0,158255691886.0,117072788789.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-733529999451.0,-1271507683314.0,-334285246831.0,-183838384184.0,-783081950287.0,-323328091865.0
dart_AllowanceForOtherDoubtfulAccounts,기타의대손상각비,Allowance for other doubtful accounts,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타의대손상각비,,,-38261221581.0,-42221884690.0,8731679390.0,9004237157.0,-2848833912.0,-2752093046.0
ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod,금융수익-유효이자율법에 따른 이자수익,Finance income - Interest revenue calculated using effective interest method,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익-유효이자율법에 따른 이자수익,,,79010561827.0,144824096233.0,161344494960.0,91131007270.0,117380869303.0,78781277757.0
