"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,285935478481.0,902252020191.0,809006057001.0,328068532170.0,729362921828.0,312422244292.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,285183141042.0,890792920064.0,739598235345.0,315309134593.0,599779830484.0,269820935224.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,752337439.0,11459100127.0,69407821656.0,12759397577.0,129583091344.0,42601309068.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,43298122275.0,75903749968.0,57602439390.0,28084583364.0,44810191189.0,20061450412.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,-42545784836.0,-64444649841.0,11805382266.0,-15325185787.0,84772900155.0,22539858656.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,30763492727.0,83294385342.0,52466460352.0,38907471983.0,51911472446.0,22087678923.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,29186517012.0,38337218847.0,106240634131.0,15529193883.0,84558689786.0,48823466284.0
dart_NonOperatingIncome,기타영업외수익,Other Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,9518416048.0,24270582439.0,21497120185.0,8548403864.0,26914650796.0,16910015120.0
dart_NonOperatingExpense,기타영업외비용,Other Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,8824312451.0,20925780519.0,17352326953.0,8088263588.0,19404175106.0,5712544264.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Gain on equity method valuation,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,,0.0,446009305.0,,889272081.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,-40274705524.0,-16142681426.0,-37377988976.0,8513232589.0,60525430586.0,7001542151.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-5451038881.0,-44941089359.0,7742200172.0,-3122478412.0,11538290746.0,2117030374.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,-34823666643.0,28798407933.0,-45120189148.0,11635711001.0,48987139840.0,4884511777.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-1251321772.0,158399488567.0,34619679077.0,5710819922.0,-2487348906.0,-836108475.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,Items that are reclassified as profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,0.0,114561267495.0,12307031201.0,0.0,1006196669.0,0.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,Items that are not reclassified as profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-1251321772.0,43838221072.0,22312647876.0,5710819922.0,-3493545575.0,-836108475.0
ifrs-full_ComprehensiveIncome,당기총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익,,,-36074988415.0,187197896500.0,-10500510071.0,17346530923.0,46499790934.0,4048403302.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주,Attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익의 귀속 [개요],지배기업의 소유주,,,6299146309.0,-32544101673.0,,43826759699.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익의 귀속 [개요],비지배지분,,,22499261624.0,-12576087475.0,,5160380141.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주,Attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익의 귀속 [개요],지배기업의 소유주,,,117872762679.0,-9972075396.0,,41598385348.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,Attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익의 귀속 [개요],비지배지분,,,69325133821.0,-528434675.0,,4901405586.0,
ifrs-full_BasicEarningsLossPerShare,기본주당손익,Basic earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당손익,,-755.0,137.0,-706.0,252.0,950.0,106.0
ifrs-full_DilutedEarningsLossPerShare,희석주당손익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당손익,,-755.0,137.0,-706.0,252.0,950.0,106.0
