"('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'concept_id')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_ko')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'label_en')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class0')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class1')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class2')","('[D431415] 단일 포괄손익계산서, 기능별 분류, 세후 - 별도 | Statement of comprehensive income, by function of expense - Separate financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue(Sales),ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,278186189427.0,255573034656.0,322422803089.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,140020108110.0,127238409519.0,167794521227.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,138166081317.0,128334625137.0,154628281862.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,13964737445.0,13956224846.0,17993551880.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,124201343872.0,114378400291.0,136634729982.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,22337738072.0,27865067804.0,17440784590.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타수익,,13700970478.0,20526173615.0,18764320073.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타비용,,-2312820865.0,-3821207007.0,-7019781090.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융수익,,10957192803.0,11169532521.0,5704898521.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융원가,,-7604344.0,-9431325.0,-8652914.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,146539081944.0,142243468095.0,154075514572.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,33260035516.0,31320452655.0,39711723245.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,113279046428.0,110923015440.0,114363791327.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-2186772331.0,-1495040200.0,-935595604.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,-2186772331.0,-1495040200.0,-935595604.0
ifrs-full_ComprehensiveIncome,포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익,,,111092274097.0,109427975240.0,113428195723.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익,,7463.0,7308.0,7534.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익,,7463.0,7308.0,7534.0
