"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Operating revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,22242327609027.0,16590937102237.0,16672038432351.0,20359463366897.0,19161174666050.0,16761431114978.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,수수료수익,,,1308007664447.0,1193155847966.0,1034159273128.0,1137604296381.0,1216764073359.0,1102582661012.0
dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품관련이익,,,12118429716099.0,11132666970530.0,11561013881785.0,12240177803587.0,12959407316689.0,12131294371665.0
dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익-공정가치측정금융상품관련이익,,,47655584396.0,47638626715.0,35442937008.0,35471764547.0,2430356560.0,2430356560.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,,,5805279268698.0,2137609992676.0,1925348962307.0,4313759391529.0,2171874794943.0,1308145822051.0
ifrs-full_InterestIncomeForFinancialAssetsMeasuredAtAmortisedCost,상각후원가측정금융자산관련이자수익,Interest revenue for financial assets measured at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,상각후원가측정금융자산관련이자수익,,4458826442140.0,836013225880.0,785745794184.0,3122632950309.0,1400382295341.0,579512629731.0
ifrs-full_InterestRevenueForFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산관련이자수익,Interest revenue for financial assets measured at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,기타포괄손익-공정가치측정금융자산관련이자수익,,539897695800.0,537818236354.0,524038387743.0,527929870785.0,307182771085.0,304754208551.0
ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융자산관련이자수익,Interest income on financial assets designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,이자수익,당기손익-공정가치측정금융자산관련이자수익,,806555130758.0,763778530442.0,615564780380.0,663196570435.0,464309728517.0,423878983769.0
ifrs-full_ReversalAllowanceAccountForCreditLossesOfFinancialAssets,신용손실충당금환입액,Reversal of allowances on credit loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,신용손실충당금환입액,,,11039301884.0,9565656111.0,1638090402.0,2831788422.0,327497402.0,2306388.0
ifrs-full_ForeignExchangeGain,외환거래이익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래이익,,,1963930016000.0,1678533274812.0,1753089509919.0,1867626220871.0,2139475401877.0,1937833765583.0
