"('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,포괄손익계산서 [개요],매출액,,,16097841111335.0,16592248884388.0,19106396627997.0,21436788407451.0,16641522224875.0,18744463843767.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,-13756029692710.0,-13498684888608.0,-16736945342240.0,-17654581105996.0,-13842333668955.0,-14871581452520.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,2341811418625.0,3093563995780.0,2369451285757.0,3782207301455.0,2799188555920.0,3872882391247.0
dart_OtherOperatingIncome,기타영업수익,Other operating income,포괄손익계산서 [개요],기타영업수익,,,,89856873442.0,,0.0,,0.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,-2399496242687.0,-2820116405959.0,-1815085731573.0,-2236718587883.0,-1941544108071.0,-2275035993501.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [개요],영업이익,,,-57684824062.0,363304463263.0,554365554184.0,1545488713572.0,857644447849.0,1597846397746.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [개요],기타수익,,,1089295102329.0,46717133867.0,192553203610.0,65023686846.0,112177595957.0,61892523922.0
dart_OtherLosses,기타비용,Other non-operating expenses,포괄손익계산서 [개요],기타비용,,,-36028272092.0,-209979777975.0,-15754501250.0,-47420340307.0,-87405387118.0,-206313365843.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,962803645561.0,1128675848530.0,633688857678.0,958483127560.0,851055803408.0,1234099343915.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [개요],금융비용,,,-1207277386276.0,-1602581639814.0,-681488383046.0,-1157005332204.0,-822397529457.0,-1293253235678.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of profit (loss) of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법이익,,,,801185893693.0,,1017238435301.0,,1039696669877.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit before income tax,포괄손익계산서 [개요],법인세비용차감전순이익,,,751108265460.0,527321921564.0,683364731176.0,2381808290768.0,911074930639.0,2433968333939.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),포괄손익계산서 [개요],법인세비용,,,-16833638289.0,-6860315248.0,24024922685.0,-403148715526.0,-170161113387.0,-551652326063.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익,Profit (loss) from continuing operations,포괄손익계산서 [개요],계속영업당기순이익,,,734274627171.0,520461606316.0,707389653861.0,1978659575242.0,740913817252.0,1882316007876.0
ifrs-full_ProfitLossFromDiscontinuedOperations,세후중단영업이익,Profit (loss) from discontinued operations,포괄손익계산서 [개요],세후중단영업이익,,,139683493535.0,55050809663.0,113792643724.0,87386986959.0,124924389828.0,157045440110.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),포괄손익계산서 [개요],당기순이익,,,873958120706.0,575512415979.0,821182297585.0,2066046562201.0,865838207080.0,2039361447986.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,"Other comprehensive income for the year, net of tax",포괄손익계산서 [개요],기타포괄손익,,,-316754550023.0,904927491142.0,-11236618915.0,66016033843.0,-135745741977.0,-139877439687.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,후속기간에 당기손익으로 재분류되지 않는 포괄손익,Items that will not be reclassified to profit or loss,포괄손익계산서 [개요],기타포괄손익,후속기간에 당기손익으로 재분류되지 않는 포괄손익,,-311579517367.0,-108328265590.0,5773714310.0,-20415683155.0,-83550187320.0,-110357582301.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossBeforeTax,후속기간에 당기손익으로 재분류되는 포괄손익,Items that are or may be reclassified to profit or loss,포괄손익계산서 [개요],기타포괄손익,후속기간에 당기손익으로 재분류되는 포괄손익,,-5175032656.0,1013255756732.0,-17010333225.0,86431716998.0,-52195554657.0,-29519857386.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income for the year,포괄손익계산서 [개요],총포괄손익,,,557203570683.0,1480439907121.0,809945678670.0,2132062596044.0,730092465103.0,1899484008299.0
entity00126362_ProfitLossFromContinuingOperationsAttributableToOfStatementOfComprehensiveIncomeAbstract,계속영업당기순손익의 귀속,Profit (loss) from continuing operations attributable to,포괄손익계산서 [개요],계속영업당기순손익의 귀속,,,,520461606316.0,,1978659575242.0,,1882316007876.0
ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent,지배기업지분,Income from continuing operations attributable to owners of parent,포괄손익계산서 [개요],계속영업당기순손익의 귀속,지배기업지분,,,544239033146.0,,1921820139341.0,,1795103095414.0
ifrs-full_ProfitLossFromContinuingOperationsAttributableToNoncontrollingInterests,비지배지분,Profit (loss) from continuing operations attributable to non-controlling interests,포괄손익계산서 [개요],계속영업당기순손익의 귀속,비지배지분,,,-23777426830.0,,56839435901.0,,87212912462.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업지분,Owners of the Parent Company,포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업지분,,,599289842809.0,,2009207126300.0,,1952148535524.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],비지배지분,,,-23777426830.0,,56839435901.0,,87212912462.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [개요],총포괄손익의 귀속,지배기업지분,,,1321966122109.0,,2094600653447.0,,1848403992006.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [개요],총포괄손익의 귀속,비지배지분,,,158473785012.0,,37461942597.0,,51080016293.0
ifrs-full_BasicEarningsLossPerShare,보통주 기본및희석주당이익,Basic earnings per share - Ordinary share (in won),포괄손익계산서 [개요],주당이익 [개요],보통주 기본및희석주당이익,,13068.0,8961.0,12279.0,30044.0,12946.0,29191.0
dart_BasicEarningsLossPerSharePreferredStock,우선주 기본및희석주당이익,Basic earnings (loss) per share - preferred stock,포괄손익계산서 [개요],주당이익 [개요],우선주 기본및희석주당이익,,13118.0,9011.0,12329.0,30094.0,12996.0,29241.0
