"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,42103238027336.0,22913282644240.0,41895681215734.0,24473670356547.0,26406560657427.0,43161653399535.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,34995636300899.0,19624964611613.0,35328734489208.0,21231972481243.0,23213403368000.0,37122503575502.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,7107601726437.0,3288318032627.0,6566946726526.0,3241697875304.0,3193157289427.0,6039149824033.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,4124205031519.0,2341019425924.0,3696772909673.0,2250016561802.0,2253745312452.0,3510625410444.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,2983396694918.0,947298606703.0,2870173816853.0,991681313502.0,939411976975.0,2528524413589.0
dart_OtherGains,기타수익,Other revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,1832706414774.0,1667883353703.0,1529234665236.0,1620812453961.0,2107832139713.0,2080313108127.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,1226260152544.0,928054232837.0,967516068207.0,692363100902.0,1147177278442.0,1330835729664.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,343912466074.0,237048137837.0,368151404905.0,180825160678.0,162217082516.0,310557947941.0
ifrs-full_FinanceCosts,금융비용,Finance expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,267653634612.0,193775639255.0,333640948236.0,196465262402.0,176194874086.0,396701103688.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,81166111024.0,,91250283780.0,,,147036670008.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손실,,,24801291359.0,,8156505013.0,,,4348781056.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,3722466608275.0,1730400226151.0,3549496649318.0,1904490564837.0,1886089046676.0,3334546525257.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,950454516464.0,312854985363.0,830390532609.0,336298689860.0,424281338013.0,789589556748.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,2772012091811.0,1417545240788.0,2719106116709.0,1568191874977.0,1461807708663.0,2544956968509.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-5002537011430.0,-5213322828655.0,5652871082758.0,5550152647546.0,-5026195727531.0,-4963833451405.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,Other comprehensive income that will be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,Other comprehensive income that will not be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,,,,,
ifrs-full_ComprehensiveIncome,당기총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익,,,-2230524919619.0,-3795777587867.0,8371977199467.0,7118344522523.0,-3564388018868.0,-2418876482896.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업소유주지분당기순이익,,2230258255124.0,,2218290399862.0,,,2044080219090.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,비지배지분,,541753836687.0,,500815716847.0,,,500876749419.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분총포괄손익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄손익의 귀속,지배기업소유주지분총포괄손익,,-2764072205447.0,,7851762260212.0,,,-2943185530132.0
