"('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_InsuranceServiceResult,보험손익,Insurance service result,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,,,541990000000.0,536631000000.0,1448232000000.0,1448544000000.0,1623423000000.0,1667845000000.0
dart_OperatingIncomeInsurance,보험서비스수익,"Operating income, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험서비스수익,,9118505000000.0,9190107000000.0,8672104000000.0,8575730000000.0,7782481000000.0,7890522000000.0
dart_OperatingExpenseInsurance,보험서비스비용,"Operating expense, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험서비스비용,,8576515000000.0,8653476000000.0,7223872000000.0,7127186000000.0,6159058000000.0,6222677000000.0
dart_InvestmentIncomeExpenses,투자손익,Investment income expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,,,1000936000000.0,1963120000000.0,950145000000.0,-23709000000.0,-463751000000.0,512882000000.0
ifrs-full_InvestmentIncome,투자서비스수익,Investment income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자서비스수익,,17898968000000.0,24595922000000.0,22264910000000.0,16734106000000.0,21048357000000.0,26496467000000.0
dart_OperatingExpenseInvestment,투자서비스비용,"Operating expense, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자서비스비용,,16898032000000.0,22632802000000.0,21314765000000.0,16757815000000.0,21512108000000.0,25983585000000.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1542926000000.0,2499751000000.0,2398377000000.0,1424835000000.0,1159672000000.0,2180727000000.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,278364000000.0,313915000000.0,160674000000.0,256348000000.0,419425000000.0,259737000000.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,영업외수익,,313442000000.0,357887000000.0,210691000000.0,275277000000.0,574758000000.0,428990000000.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,영업외비용,,35078000000.0,43972000000.0,50017000000.0,18929000000.0,155333000000.0,169253000000.0
