"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,13828232033800.0,5447352234920.0,13276844204872.0,5166838958290.0,17234749537662.0,5174554117525.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,11815899879484.0,4270509204902.0,11480694731911.0,4205077178563.0,15334193757477.0,4232572180884.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,2012332154316.0,1176843030018.0,1796149472961.0,961761779727.0,1900555780185.0,941981936641.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,1101235247315.0,669419852259.0,987918526367.0,610569536997.0,984481756871.0,645828437387.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익,,911096907001.0,507423177759.0,808230946594.0,351192242730.0,916074023314.0,296153499254.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,56645760073.0,697006884448.0,74712692832.0,106426676303.0,128850875378.0,126094159424.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,41788200566.0,19765512447.0,51359876856.0,19234144315.0,27791908765.0,4685121421.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,329157647683.0,152613632821.0,286501829275.0,127085493151.0,314608253708.0,127655826709.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,155471871099.0,46896029459.0,138970736852.0,39102952169.0,206576130937.0,62904564550.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,3121850278.0,,6393516373.0,,6915094785.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,1102762093370.0,1290382153122.0,985508371366.0,526367315700.0,1132080207483.0,482313799416.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:IncomeStatementAbstract,법인세비용,,313260768077.0,158454968710.0,284182610344.0,116858501138.0,2067621862.0,-47831787865.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,789501325293.0,1131927184412.0,701325761022.0,409508814562.0,1130012585621.0,530145587281.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속 [개요],지배기업소유지분,756996881809.0,,693422011534.0,,1099744743139.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속 [개요],비지배지분,32504443484.0,,7903749488.0,,30267842482.0,
ifrs-full_BasicEarningsLossPerShare,보통주기본주당이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주기본주당이익,9787.0,14634.0,8965.0,5294.0,14218.0,6854.0
ifrs-full_DilutedEarningsLossPerShare,보통주희석주당이익,Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주희석주당이익,9787.0,14634.0,8965.0,5294.0,14218.0,6854.0
