"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,7598593088664.0,10294102976435.0,6795888643719.0,8892411942806.0,9406610256060.0,7228617085274.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,6446101448152.0,8334880175421.0,5862040045495.0,7173051968878.0,7141880879320.0,5617620568653.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1152491640512.0,1959222801014.0,933848598224.0,1719359973928.0,2264729376740.0,1610996516621.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,908934893698.0,1224216944019.0,787996052380.0,1058815519148.0,1058931398464.0,788943254215.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,243556746814.0,735005856995.0,145852545844.0,660544454780.0,1205797978276.0,822053262406.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,,,,,,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,138363560407.0,72006051126.0,90840643625.0,52727909704.0,29067541185.0,32083368585.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,49953104352.0,72690315725.0,44274729345.0,67685474650.0,46305338608.0,17989582868.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,-952114882.0,,-4742266088.0,-2916492121.0,
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,359698753293.0,417051368952.0,278660975930.0,340189951977.0,500470925593.0,372410922808.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,227749327742.0,353124800416.0,219570826100.0,417797018974.0,477931034941.0,257652082253.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,463916628420.0,797296046050.0,251508609954.0,563237556749.0,1208183579384.0,950905888678.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,26563759353.0,132345904678.0,12673730694.0,85855396375.0,169245806596.0,228430947022.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익,Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업당기순이익,,,437352869067.0,664950141372.0,238834879260.0,477382160374.0,1038937772788.0,722474941656.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손익,Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업손익,,,-9574544521.0,38265495710.0,-19018235504.0,-26900035201.0,-45418590618.0,-21117164073.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,427778324546.0,703215637082.0,219816643756.0,450482125173.0,993519182170.0,701357777583.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익 합계,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익 합계,,,75802993497.0,370893003438.0,37104390538.0,46706948086.0,-9601079162.0,-32068754220.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목:,"Other comprehensive income that will not be reclassified to profit or loss, net of tax:",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익 합계,후속적으로 당기손익으로 재분류되지 않는 항목:,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목:,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익 합계,후속적으로 당기손익으로 재분류되는 항목:,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄이익,,,503581318043.0,1074108640520.0,256921034294.0,497189073259.0,983918103008.0,669289023363.0
ifrs-full_ProfitLossFromContinuingOperationsAttributableToParticipatingEquityInstrumentsOtherThanOrdinarySharesUsedInCalculatingBasicEarningsLossPerInstrument,계속영업당기순이익의 귀속,"Profit (loss) from continuing operations attributable to participating equity instruments other than ordinary shares, used in calculating basic earnings (loss) per instrument",ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업당기순이익의 귀속,,,,,,,,
ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent,계속영업이익,Income from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업당기순이익의 귀속,계속영업이익,,,640864573913.0,,449856741813.0,1025970232745.0,
