"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,300870903000000.0,209052241000000.0,170374090000000.0,258935494000000.0,211867483000000.0,302231360000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,186562268000000.0,152061472000000.0,144023552000000.0,180388580000000.0,152589393000000.0,190041770000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,114308635000000.0,56990769000000.0,26350538000000.0,78546914000000.0,59278090000000.0,112189590000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,81582674000000.0,44629735000000.0,37876835000000.0,71979938000000.0,33958761000000.0,68812960000000.0
dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:IncomeStatementAbstract,영업이익,,32725961000000.0,12361034000000.0,-11526297000000.0,6566976000000.0,25319329000000.0,43376630000000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,1960338000000.0,10351185000000.0,29643315000000.0,1180448000000.0,4576378000000.0,1962071000000.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,1625229000000.0,540542000000.0,375723000000.0,1083327000000.0,296344000000.0,1790176000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of net profit of associates and joint ventures,ifrs-full:IncomeStatementAbstract,지분법이익,,751044000000.0,,,887550000000.0,,1090643000000.0
ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:IncomeStatementAbstract,금융수익,,16703304000000.0,7717689000000.0,7388664000000.0,16100148000000.0,9734299000000.0,20828995000000.0
ifrs-full_FinanceCosts,금융비용,Financial expense,ifrs-full:IncomeStatementAbstract,금융비용,,12985684000000.0,8139788000000.0,7598459000000.0,12645530000000.0,9641742000000.0,19027689000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,37529734000000.0,21749578000000.0,17531500000000.0,11006265000000.0,29691920000000.0,46440474000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense (benefit),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,3078383000000.0,-1832987000000.0,-7865599000000.0,-4480835000000.0,4273142000000.0,-9213603000000.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:IncomeStatementAbstract,당기순이익,,34451351000000.0,23582565000000.0,25397099000000.0,15487100000000.0,25418778000000.0,55654077000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업 소유지분,33621363000000.0,,,14473401000000.0,,54730018000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit attributable to Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,829988000000.0,,,1013699000000.0,,924059000000.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익,-Basic,ifrs-full:IncomeStatementAbstract,주당이익,기본주당이익,4950.0,3472.0,3739.0,2131.0,3742.0,8057.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,-Diluted,ifrs-full:IncomeStatementAbstract,주당이익,희석주당이익,4950.0,3472.0,3739.0,2131.0,3742.0,8057.0
