"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,,9903077919464.0,9867428881355.0,7907247253069.0,8009429912108.0,5856207475304.0,5944667452285.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,8982515873610.0,9042790407823.0,7293183564908.0,7363956147068.0,6357204875606.0,6406887410371.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,920562045854.0,824638473532.0,614063688161.0,645473765040.0,-500997400302.0,-462219958086.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:IncomeStatementAbstract,판매비와관리비,,,417863362766.0,,,412128996998.0,,392200992730.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익,,,502698683088.0,453922826901.0,256949282225.0,233344768042.0,-915101596590.0,-854420950816.0
dart_NonOperatingIncome,기타수익,Non-operating Income,ifrs-full:IncomeStatementAbstract,기타수익,,,5425216065374.0,5420020307819.0,1792548914891.0,1787245126599.0,2884224124358.0,3065585006383.0
dart_NonOperatingExpense,기타비용,Non-operating expense,ifrs-full:IncomeStatementAbstract,기타비용,,,6064043996336.0,6044992472093.0,2167502801515.0,2169702108063.0,2661256537593.0,2685540610011.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,,182466139257.0,176854452622.0,141783132981.0,143007780254.0,168258446569.0,177150903231.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:IncomeStatementAbstract,금융원가,,,361844306644.0,368537895894.0,247185479780.0,289554857359.0,224028418178.0,256648732887.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,지분법이익(손실),Share of profit (loss) of associates accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법이익(손실),,,5206532.0,,,-53137552.0,,-836881260.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손실,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순손실,,,-315502208729.0,-362732780645.0,-223406951198.0,-295712428079.0,-747903981434.0,-554711265360.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,,-369379437494.0,-378419536337.0,-134362190514.0,-140156052309.0,31981398524.0,72700541773.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실),,,53877228765.0,15686755692.0,-89044760684.0,-155556375770.0,-779885379958.0,-627411807133.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익(손실),지배기업소유주지분,,63876253559.0,,,-148272721730.0,,-619438307027.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익(손실),비지배지분,,-9999024794.0,,,-7283654040.0,,-7973500106.0
ifrs-full_BasicEarningsLossPerShare,기본주당순손익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,지배기업 소유주지분에 대한 주당순이익(손실),기본주당순손익,,,,,,,
