"('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_FeeAndCommissionIncomeExpense,순수수료손익,Net fee and commission income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,,,948541876681.0,911215535983.0,784826525284.0,798866070389.0,704859953605.0,714009605155.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료수익,,1146627595048.0,1063259090991.0,945759046571.0,1000019189708.0,850917334222.0,893111948599.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료비용,,-198085718367.0,-152043555008.0,-160932521287.0,-201153119319.0,-146057380617.0,-179102343444.0
ifrs-full_InterestRevenueExpense,순이자손익,Net interest income and expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,668147980003.0,532666044775.0,506618068110.0,649202061572.0,519100173909.0,621189254132.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,1691960043439.0,1422749768683.0,1309807939418.0,1610761146377.0,1025159721962.0,1252231723636.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-1023812063436.0,-890083723908.0,-803189871308.0,-961559084805.0,-506059548053.0,-631042469504.0
dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,,,476375757010.0,477317227435.0,269135503446.0,266010370861.0,-33940449512.0,-35953301423.0
dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련이익,Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정금융상품관련이익,,8339157798837.0,8340080852898.0,8314511444516.0,8314089839619.0,7702376924976.0,7705138347918.0
entity00104856_GainFromFinancialInstrumentsDesignatedAtFairValueThroughProfitOrLossOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련이익,Gain from financial instruments designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정지정금융상품관련이익,,235234377457.0,,,573216006847.0,,1164605502401.0
entity00104856_GainOnExchangeRateFluctuationsOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,환율변동이익,Gain on exchange rate fluctuations,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,환율변동이익,,193364211300.0,,,170300091999.0,,560539805458.0
dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정금융상품관련손실,,-7561803463630.0,-7561785047266.0,-7675655906134.0,-7678359433822.0,-8729436253452.0,-8734210528305.0
entity00104856_LossFromFinancialInstrumentsDesignatedAtFairValueThroughProfitOrLossOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정지정금융상품관련손실,Loss from financial instruments designated at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,당기손익-공정가치측정지정금융상품관련손실,,-578856462725.0,,,-958032607893.0,,-539324354231.0
entity00104856_LossOnExchangeRateFluctuationsOfudf_IS_2024311184816792OfStatementOfComprehensiveIncomeAbstract,환율변동손실,Loss on exchange rate fluctuations,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익-공정가치측정금융상품순손익,환율변동손실,,-150720704229.0,,,-155203525889.0,,-192702074664.0
ifrs-full_OtherOperatingIncomeExpense,기타영업손익,Other operating income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,,,146712716595.0,144727504647.0,-65191638488.0,-67075474967.0,102103596213.0,101310488092.0
dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산관련수익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,기타포괄손익-공정가치측정금융자산관련수익,,1124312431.0,1124312431.0,471317284.0,471317284.0,10077036.0,10077036.0
