"('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class0')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class1')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class2')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,4383209688411.0,4015545270908.0,3936613779857.0,4004222629932.0,3794571861592.0,3641606365188.0
ifrs-full_FeeAndCommissionIncome,신용판매수익,Credit purchase income,ifrs-full:StatementOfComprehensiveIncomeAbstract,신용판매수익,,,2423302466655.0,2423302466655.0,2416390679043.0,2416390679043.0,2140670777731.0,2140670777731.0
ifrs-full_RevenueFromInterest,금융상품수익,Financial income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융상품수익,,,1048592519255.0,1048592519255.0,1003455928748.0,1003455928748.0,1008587713599.0,1008587713599.0
entity00126292_InstallmentPurachaseIncomeOfStatementOfComprehensiveIncomeAbstract,할부금융수익,Installment purachase income,ifrs-full:StatementOfComprehensiveIncomeAbstract,할부금융수익,,,13248114403.0,,,15251336255.0,14385992368.0,
dart_LeaseIncome,리스수익,Lease income,ifrs-full:StatementOfComprehensiveIncomeAbstract,리스수익,,,205338811575.0,205406488421.0,201493061977.0,201419622332.0,223787133570.0,223833278092.0
dart_GainsOnChangeInFairValueAndOnDisposalOfFinancialInstruments,유가증권평가및처분이익,Securities gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,유가증권평가및처분이익,,,3889974425.0,3889974425.0,1819653138.0,1819653138.0,0.0,0.0
dart_GainLossFromDerivativesHeldForHedging,파생상품평가및거래이익,Derivatives gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,파생상품평가및거래이익,,,367679241138.0,,,66161778438.0,144843632793.0,
ifrs-full_ForeignExchangeGain,외화평가및거래이익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,외화평가및거래이익,,,30722831394.0,30722831394.0,31149648230.0,32679648230.0,32208914364.0,23951341404.0
dart_OtherOperatingIncome,기타수익,Other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,290435729566.0,290382876355.0,267053472466.0,267043983748.0,230087697167.0,230177261994.0
ifrs-full_OperatingExpense,영업비용,Operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업비용,,,3497788251514.0,3132111029420.0,3128965387663.0,3194215648565.0,2945625051492.0,2795281986599.0
ifrs-full_InterestExpense,금융비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,512693240797.0,513841248381.0,487064304211.0,486018704848.0,433293729608.0,434138770605.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비,Selling expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비,,,1114972768866.0,1114620723491.0,1153843910979.0,1154158149029.0,1168414205426.0,1167900387964.0
ifrs-full_GeneralAndAdministrativeExpense,일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,789377990614.0,791776509504.0,749234180642.0,746410478240.0,734905130277.0,738295428353.0
dart_LossesOnChangeInFairValueAndOnDisposalOfFinancialInstruments,유가증권평가및처분손실,Securities loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,유가증권평가및처분손실,,,2081435244.0,2081435244.0,1973633285.0,1973633285.0,1700713694.0,1700713694.0
entity00126292_DerivativesLossOfStatementOfComprehensiveIncomeAbstract,파생상품평가및거래손실,Derivatives loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,파생상품평가및거래손실,,,0.0,,,1530000000.0,8257572960.0,
ifrs-full_ForeignExchangeLoss,외화평가및거래손실,Foreign exchange loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,외화평가및거래손실,,,370720208273.0,3040967135.0,2003244289.0,68165022727.0,146514352180.0,1670719387.0
ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,대손상각비,Bad debt expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,대손상각비,,,690366252468.0,690361832934.0,719885663254.0,719890575606.0,442288380975.0,442302979937.0
dart_OtherOperatingExpense,기타비용,Other expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,17576355252.0,16388312731.0,14960451003.0,16069084830.0,10250966372.0,9272986659.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익,Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,885421436897.0,883434241488.0,807648392194.0,810006981367.0,848946810100.0,846324378589.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,8538657331.0,5883083065.0,4574850506.0,5982939292.0,7250213464.0,2720173548.0
entity00126292_ShareOfProfitOfAssociatesOfNonOperatingIncome,관계기업투자주식평가이익,Share of profit of associates,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,관계기업투자주식평가이익,,2477681850.0,,,1265675658.0,4456146639.0,
entity00126292_GainOnDisposalOfPropertyAndEquipmentAndIntangibleAssetsOfNonOperatingIncome,유무형자산처분이익및손상환입,Gain on disposal of property and equipment and intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,유무형자산처분이익및손상환입,,379851803.0,,,420341858.0,271470874.0,
entity00126292_OtherIncomeOfNonOperatingIncome,기타영업외수익,Other income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,기타영업외수익,,5681123678.0,,,4296921776.0,2522595951.0,
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,5950485961.0,5498330747.0,4435786973.0,4880138719.0,5442615928.0,5104543007.0
entity00126292_ShareOfLossOfAssociatesOfNonOperatingExpense,관계기업투자주식평가손실,Share of loss of associates,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,관계기업투자주식평가손실,,347436367.0,,,176703976.0,0.0,
entity00126292_GainOnTransactionOfDerivativesOfNonOperatingExpense,관계기업투자주식처분손실,Gain on transaction of derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,관계기업투자주식처분손실,,0.0,,,0.0,3093300.0,
entity00126292_LossOnDisposalOfPropertyAndEquipmentAndIntangibleAssetsOfNonOperatingExpense,유무형자산처분손실및손상차손,Loss on disposal of property and equipment and intangible assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,유무형자산처분손실및손상차손,,960735640.0,,,1233516152.0,2756209837.0,
entity00126292_DonationsOfNonOperatingExpense,기부금,Donations,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,기부금,,4603649644.0,,,3441312852.0,2607954145.0,
entity00126292_OtherExpenseOfNonOperatingExpense,기타영업외비용,Other expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,기타영업외비용,,38664310.0,,,28605739.0,75358646.0,
