"('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class0')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class1')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class2')","('[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_InsuranceServiceResult,보험손익,Insurance service result,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,,,1780370394335.0,1818315960226.0,1863078758160.0,1936082397269.0,1538847546478.0,1491848842717.0
dart_OperatingIncomeInsurance,보험영업수익,"Operating income, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업수익,,17534798454723.0,17823215032495.0,16794121007131.0,17020053932407.0,16040470822479.0,15842303842834.0
dart_OperatingExpenseInsurance,보험영업비용,"Operating expense, insurance",ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험영업비용,,15754428060388.0,16004899072269.0,14931042248971.0,15083971535138.0,14501623276001.0,14350455000117.0
dart_InvestmentIncomeExpenses,투자손익,Investment income expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,,,919173464104.0,831280727807.0,513146179233.0,421201020216.0,505811439306.0,476375965744.0
ifrs-full_InvestmentIncome,투자영업수익,Investment income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,,4431697899341.0,4833752628172.0,3534835446835.0,3804653397761.0,3570826903192.0,3202439128661.0
dart_OperatingExpenseInvestment,투자영업비용,"Operating expense, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,,3512524435237.0,4002471900365.0,3021689267602.0,3383452377545.0,3065015463886.0,2726063162917.0
ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,2699543858439.0,2649596688033.0,2376224937393.0,2357283417485.0,2044658985784.0,1968224808461.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,29579166741.0,120178048768.0,36286217091.0,118672950353.0,55894493080.0,23039879250.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,25038650185.0,25225656084.0,51454736010.0,29374611696.0,29736595218.0,9816258805.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전계속영업순이익,,,2704084374995.0,2744549080717.0,2361056418474.0,2446581756142.0,2070816883646.0,1981448428906.0
