"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,포괄손익계산서 [개요],수익(매출액),,,1582033347837.0,2059542800914.0,1357671112584.0,1684815345750.0,1473142777934.0,1278383545650.0
dart_RevenueFromSaleOfGoodsProduct,제품매출액,Revenue from sale of goods product,포괄손익계산서 [개요],수익(매출액),제품매출액,,1560613080512.0,2038122533589.0,1335585589933.0,1662729823099.0,1452621471604.0,1257862239320.0
dart_RevenueFromSaleOfGoodsMerchandise,상품매출액,Revenue from sale of goods merchandise,포괄손익계산서 [개요],수익(매출액),상품매출액,,21420267325.0,21420267325.0,22085522651.0,22085522651.0,20521306330.0,20521306330.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,1334185774099.0,1715593665231.0,1172049486829.0,1420564088085.0,1264007264759.0,1110738147023.0
dart_CostOfSalesFromSaleOfGoodsProduct,제품매출원가,Cost of sales from sale of goods product,포괄손익계산서 [개요],매출원가,제품매출원가,,1317807564991.0,1699215456123.0,1154409760268.0,1402924361524.0,1246437289574.0,1093168171838.0
ifrs-full_CostOfMerchandiseSold,상품매출원가,Cost of merchandise sold,포괄손익계산서 [개요],매출원가,상품매출원가,,16378209108.0,16378209108.0,17639726561.0,17639726561.0,17569975185.0,17569975185.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,247847573738.0,343949135683.0,185621625755.0,264251257665.0,209135513175.0,167645398627.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",포괄손익계산서 [개요],판매비와관리비,,,105350774875.0,164281564747.0,90353384229.0,134335588417.0,128045128574.0,94278971557.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,142496798863.0,179667570936.0,95268241526.0,129915669248.0,81090384601.0,73366427070.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [개요],기타이익,,,62618070291.0,73703518618.0,26603164504.0,38713813527.0,53091418981.0,45030159808.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [개요],기타손실,,,36249339636.0,54171718050.0,24878211391.0,43305099241.0,54622964170.0,41767163948.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,32580361704.0,36746596735.0,27534467021.0,28096353764.0,12611369004.0,13673892027.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [개요],금융원가,,,10146731140.0,16206621522.0,7761064040.0,12903908137.0,21738185441.0,19606325138.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,191299160082.0,219739346717.0,116766597620.0,140516829161.0,70432022975.0,70696989819.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,41827311167.0,47418097176.0,20943661379.0,22118183000.0,27753739000.0,22238643428.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,149471848915.0,172321249541.0,95822936241.0,118398646064.0,42678284284.0,48458346391.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,169418300596.0,,116876652491.0,42830154054.0,
