"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:IncomeStatementAbstract,영업수익,,,3557303554371.0,3709213742987.0,1873430064117.0,2176431531380.0,1937469297473.0,2283967480394.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,,-1875590283775.0,-1901321116359.0,-955198742036.0,-1124562480391.0,-1052058067945.0,-1251270174707.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,,1681713270596.0,1807892626628.0,918231322081.0,1051869050989.0,885411229528.0,1032697305687.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,,-1189697735749.0,-596878680699.0,-279741849473.0,-400387628832.0,-266520456083.0,-385499131101.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,,492015534847.0,1211013945929.0,638489472608.0,651481422157.0,618890773445.0,647198174586.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,,240249279293.0,180693388665.0,51267129508.0,54185298047.0,54519851003.0,47523821773.0
dart_OtherLosses,기타비용,Other expenses,ifrs-full:IncomeStatementAbstract,기타비용,,,-122837095979.0,-122765778668.0,-24409757528.0,-34743415990.0,-84272707072.0,-87043410426.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,,56748904313.0,57785991483.0,28602158781.0,31438427170.0,24067143477.0,24945428261.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,,-80272920461.0,-54874706442.0,-11475632308.0,-19950171798.0,-6815122359.0,-13506688858.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit or loss using equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,,-11939435470.0,,,-11315774587.0,,7056051290.0
ifrs-full_GainsLossesOnNetMonetaryPosition,초인플레이션으로 인한 순화폐성 항목 발생 손익,Gains (losses) on net monetary position due to hyperinflation,ifrs-full:IncomeStatementAbstract,초인플레이션으로 인한 순화폐성 항목 발생 손익,,,2152544874.0,,,0.0,,0.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,,576116811417.0,1271852840967.0,682473371061.0,671095784999.0,606389938494.0,626173376626.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expenses,ifrs-full:IncomeStatementAbstract,법인세비용,,,-157233501013.0,-267011736511.0,-119205290756.0,-131389279889.0,-95006836226.0,-94826672872.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익,Profit (loss) from continuing operations,ifrs-full:IncomeStatementAbstract,계속영업당기순이익,,,418883310404.0,,,539706505110.0,,531346703754.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업순이익,Profit (loss) from discontinued operations,ifrs-full:IncomeStatementAbstract,중단영업순이익,,,0.0,,,0.0,,11219529516.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,,418883310404.0,1004841104456.0,563268080305.0,539706505110.0,511383102268.0,542566233270.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,Owners of the parent,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업소유주지분,,422691724154.0,,,535647963959.0,,537835568483.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,,,,,,,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings per share,ifrs-full:IncomeStatementAbstract,주당이익,기본주당이익,,2048.0,4869.0,3953.0,3759.0,3558.0,3742.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings per share,ifrs-full:IncomeStatementAbstract,주당이익,희석주당이익,,2045.0,4862.0,3947.0,3753.0,3560.0,3736.0
