"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,863356156458.0,798217403675.0,795328780866.0,844029122465.0,1090867446512.0,1047568421958.0
ifrs-full_CostOfSales,매출원가,"Cost of sales, negated",ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-616966940114.0,-573677031549.0,-611705679000.0,-650949834888.0,-793061158132.0,-789131739723.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,246389216344.0,224540372126.0,183623101866.0,193079287577.0,297806288380.0,258436682235.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense, negated",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-78440459750.0,-69637837012.0,-52535577712.0,-59590911321.0,-90755621143.0,-80186922715.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,167948756594.0,154902535114.0,131087524154.0,133488376256.0,207050667237.0,178249759520.0
dart_NonOperatingIncome,기타이익,Other Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,31305558737.0,,,33336065334.0,31485413703.0,
dart_NonOperatingExpense,기타비용,Other Expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-10971086745.0,,,-15987696012.0,-27714407653.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,25970994702.0,23190115352.0,12130815341.0,14055164384.0,9057068705.0,6804854622.0
ifrs-full_FinanceCosts,금융비용,Finance expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,-859836913.0,-592817043.0,-2622708673.0,-3588248122.0,-4435856829.0,-3495608831.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,관계기업에 대한 지분법이익(손실),Gains (Losses) of associates accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업에 대한 지분법이익(손실),,,-1447418672.0,,,0.0,0.0,
dart_ImpairmentLossesOnAssociates,관계기업투자주식손상차손,Impairment losses on associates,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업투자주식손상차손,,,-44825619957.0,-47022337696.0,-0.0,-0.0,-0.0,-0.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,167121347746.0,175733687167.0,170905554603.0,161303661840.0,215442885163.0,193909583418.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-47509469609.0,-45289379131.0,-29710348386.0,-30348277423.0,-47769951143.0,-45607241684.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,119611878137.0,130444308036.0,141195206217.0,130955384417.0,167672934020.0,148302341734.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익,"Profit, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업의 소유주에게 귀속되는 당기순이익,,,118437371614.0,,,130363029221.0,162793517824.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익,"Profit, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,비지배지분에 귀속되는 당기순이익,,,1174506523.0,,,592355196.0,4879416196.0,
ifrs-full_OtherComprehensiveIncome,당기기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기기타포괄손익,,,14388092665.0,0.0,0.0,344097745.0,-1724299261.0,0.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,Other comprehensive income that will be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,14388092665.0,,,344097745.0,-1724299261.0,
ifrs-full_ComprehensiveIncome,당기총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익,,,133999970802.0,130444308036.0,141195206217.0,131299482162.0,165948634759.0,148302341734.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 총포괄손익,Total comprehensive income attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업의 소유주에게 귀속되는 총포괄손익,,,132474376323.0,,,130707126966.0,161069218563.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분에 귀속되는 총포괄손익,Total comprehensive income attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,비지배지분에 귀속되는 총포괄손익,,,1525594479.0,,,592355196.0,4879416196.0,
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익,,15296.0,16846.0,18231.0,16832.0,20967.0,19101.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익,,15296.0,16846.0,18231.0,16832.0,20967.0,19101.0
