"('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'label_en')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class0')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class1')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class2')","('[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,6458670000000.0,1800863000000.0,1706640000000.0,6100850000000.0,5905564000000.0,1217438000000.0
ifrs-full_InterestRevenueExpense,순이자손익,Net interest income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,,,11402302000000.0,-236028000000.0,-193138000000.0,10817922000000.0,10596853000000.0,-134962000000.0
ifrs-full_RevenueFromInterest,이자수익,Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자수익,,29209338000000.0,98770000000.0,93504000000.0,27579211000000.0,20092325000000.0,87451000000.0
ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순이자손익,이자비용,,-17807036000000.0,334798000000.0,286642000000.0,-16761289000000.0,-9495472000000.0,222413000000.0
ifrs-full_FeeAndCommissionIncomeExpense,순수수료손익,Net fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,,,2714874000000.0,70436000000.0,69078000000.0,2647206000000.0,2413542000000.0,69593000000.0
ifrs-full_FeeAndCommissionIncome,수수료수익,Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료수익,,4295366000000.0,71053000000.0,69517000000.0,4175243000000.0,3884346000000.0,70141000000.0
ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료비용,,-1580492000000.0,617000000.0,439000000.0,-1528037000000.0,-1470804000000.0,548000000.0
dart_InsuranceRevenueExpense,순보험손익,Net insurance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순보험손익,,,983166000000.0,,,1113615000000.0,1046224000000.0,
ifrs-full_InsuranceRevenue,보험수익,Insurance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순보험손익,보험수익,,3116553000000.0,,,2899599000000.0,2741730000000.0,
ifrs-full_IncomeFromAmountsRecoveredFromReinsurer,재보험수익,Reinsurance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,순보험손익,재보험수익,,73578000000.0,,,44985000000.0,36274000000.0,
