"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,3885110699186.0,2413786374578.0,3673963593157.0,2439435801356.0,2874461832939.0,4134932512111.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1138378200862.0,823409608205.0,1155064685469.0,863928443314.0,992410576821.0,1337512406849.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2746732498324.0,1590376766373.0,2518898907688.0,1575507358042.0,1882051256118.0,2797420105262.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,2526251154411.0,1462424225309.0,2410727650626.0,1493042784135.0,1646684326885.0,2583186849501.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,220481343913.0,127952541064.0,108171257062.0,82464573907.0,235366929233.0,214233255761.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,124302837964.0,124526921331.0,161577461724.0,163057063368.0,25051381643.0,22771702594.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,42891624478.0,81558570360.0,19166374797.0,56508732298.0,28712371204.0,34413883142.0
dart_NonOperatingProfitLoss,기타영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외손익,,,302438171470.0,-102559174912.0,-11604794732.0,-61823133886.0,17298031790.0,13044673857.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,관계기업손익,Share of profit (loss) of associates accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,관계기업손익,,,16474492717.0,,41656032004.0,,,8858020099.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,620805221586.0,68361717123.0,280633581261.0,127189771091.0,249003971462.0,224493769169.0
