"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),,102854620800.0,92969044752.0,83478376310.0,96522928887.0,8749918757.0,28806344498.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,38785542330.0,29452399804.0,51796660309.0,65324369405.0,5493546295.0,24275249619.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,64069078470.0,63516644948.0,31681716001.0,31198559482.0,3256372462.0,4531094879.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,38665087614.0,32886814087.0,32586041265.0,40935397969.0,24727270570.0,33904775157.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,25403990856.0,30629830861.0,-904325264.0,-9736838487.0,-21470898108.0,-29373680278.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,8774049765.0,12590896050.0,2876552965.0,9906999439.0,20984524973.0,17114398014.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,4735042519.0,1257250854.0,1736017391.0,8392963383.0,412959941.0,1153988227.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,7869876538.0,5381904321.0,4699184543.0,5375023673.0,3020548624.0,3868896248.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,700930124.0,203674943.0,58556226.0,716596241.0,6787771.0,425480824.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,36611944516.0,47141705435.0,4876838627.0,-3564374999.0,2114427777.0,-9969855067.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,-24078411415.0,-24091015909.0,6031095.0,17833687.0,0.0,108049049.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,60690355931.0,71232721344.0,4870807532.0,-3582208686.0,2114427777.0,-10077904116.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,0.0,0.0,0.0,0.0,0.0,0.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,60690355931.0,71232721344.0,4870807532.0,-3582208686.0,2114427777.0,-10077904116.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총 포괄손익의 귀속,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",62252318998.0,,,-3371764005.0,,-8146003033.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총 포괄손익의 귀속,"포괄손익, 비지배지분",-1561963067.0,,,-210444681.0,,-1931901083.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익(손실),1172.0,1341.0,94.0,-65.0,41.0,-159.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익(손실),1163.0,1331.0,92.0,-65.0,40.0,-159.0
