"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출,Revenue,포괄손익계산서 [개요],매출,,,275730629782.0,694573795269.0,291658487859.0,655676513230.0,2820638097875.0,2932001440304.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,183982213619.0,355188210674.0,305750075051.0,529674195854.0,1482369847071.0,1539006778412.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,91748416163.0,339385584595.0,-14091587192.0,126002317376.0,1338268250804.0,1392994661892.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,87073952193.0,393442930348.0,138730464292.0,374086887034.0,222929586989.0,246370266445.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,4674463970.0,-54057345753.0,-152822051484.0,-248084569658.0,1115338663815.0,1146624395447.0
dart_OtherGains,기타수익,Other non-operating income,포괄손익계산서 [개요],기타수익,,,52239175621.0,68988060462.0,30421328024.0,61668776590.0,304082765192.0,306034714953.0
dart_OtherLosses,기타비용,Other non-operating expenses,포괄손익계산서 [개요],기타비용,,,145868458703.0,166166860902.0,169766765836.0,219576096136.0,223491363180.0,236578081416.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,27099954061.0,28505195149.0,27417395301.0,34016580687.0,39322734742.0,40182151397.0
ifrs-full_FinanceCosts,금융원가,Finance expenses,포괄손익계산서 [개요],금융원가,,,23313198229.0,92917842842.0,7394246162.0,65651756744.0,10432099246.0,11615167890.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업의 당기손익에 대한 지분,Share of income of associates,포괄손익계산서 [개요],관계기업의 당기손익에 대한 지분,,,,-3532303349.0,,-986910912.0,,-2559542938.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,-85168063280.0,-219181097235.0,-272144340157.0,-438613976173.0,1224820701323.0,1242088469553.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,-91503593709.0,-121041418825.0,58857594145.0,29290120786.0,320892728240.0,333299788153.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,6335530429.0,-98139678410.0,-331001934302.0,-467904096959.0,903927973083.0,908788681400.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,Owners of the Company,포괄손익계산서 [개요],당기 순이익(손실)의 귀속,지배기업소유주지분,,,-98410897573.0,,-467711537235.0,,911362364423.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배주주지분,Non-controlling interests,포괄손익계산서 [개요],당기 순이익(손실)의 귀속,비지배주주지분,,,271219163.0,,-192559724.0,,-2573683023.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income (loss):,포괄손익계산서 [개요],기타포괄손익,,,2208615792.0,216393044899.0,3168872066.0,71808694880.0,0.0,2867359574.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,742082222.0,,8064995.0,,-463803232.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목:,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되는 항목:,,2208615792.0,215650962677.0,3168872066.0,71800629885.0,0.0,3331162806.0
ifrs-full_ComprehensiveIncome,당기 총포괄이익(손실),Comprehensive income,포괄손익계산서 [개요],당기 총포괄이익(손실),,,8544146221.0,118253366489.0,-327833062236.0,-396095402079.0,903927973083.0,911656040974.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,Owners of the Company,포괄손익계산서 [개요],당기 총포괄이익(손실)의 귀속,지배기업소유주지분,,,117193332254.0,,-395924831001.0,,914680369681.0
