"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,693442524615.0,2766837750152.0,3145636831544.0,6900867843535.0,5357607238956.0,3415313943369.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,721597579680.0,2671990562810.0,3083444777382.0,6607474525916.0,4841442891689.0,3034655277315.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,-28155055065.0,94847187342.0,62192054162.0,293393317619.0,516164347267.0,380658666054.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,106848511662.0,128956551451.0,124412738162.0,137363382225.0,135487629192.0,118026524713.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,-135003566727.0,-34109364109.0,-62220684000.0,156029935394.0,380676718075.0,262632141341.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,-41656639710.0,-58864228747.0,-47378456660.0,-78329644786.0,-58142936570.0,-53348106600.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타수익,,15532734731.0,16201311668.0,5505383598.0,6094139377.0,2672280482.0,2731919563.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,기타비용,,3693520433.0,12474382064.0,14685920429.0,41172641116.0,35982161356.0,32533442917.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융수익,,48784760522.0,112834421586.0,93506786142.0,189899229109.0,189311547009.0,106740557989.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,금융원가,,102280614530.0,175425579937.0,131704705971.0,240636543651.0,214100010194.0,130287141235.0
ifrs-full_ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,지분법이익(손실),Equity method profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,지분법이익(손실),,,,,7486171495.0,-44592511.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,-176660206437.0,-92973592856.0,-109599140660.0,77700290608.0,322533781505.0,209284034741.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,-32535371267.0,-34464601510.0,-31263660547.0,23014418985.0,49880256333.0,34028350919.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,-144124835170.0,-58508991346.0,-78335480113.0,54685871623.0,272653525172.0,175255683822.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-2293139526.0,95080812976.0,-3845762230.0,14300388136.0,-5649489379.0,1641078231.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는 항목,,-2293139526.0,,-3845762230.0,,,1641078231.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,-146417974696.0,36571821630.0,-82181242343.0,68986259759.0,267004035793.0,176896762053.0
