"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,포괄손익계산서 [개요],수익(매출액),,,365708579550.0,40832723430.0,424691399327.0,89826683148.0,163340507492.0,509792825335.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,304612859219.0,32966290381.0,374625799911.0,70809218325.0,139353081703.0,458951311935.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,61095720331.0,7866433049.0,50065599416.0,19017464823.0,23987425789.0,50841513400.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,126430660580.0,77006712953.0,47018336179.0,32048153336.0,22269512251.0,35478759207.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,-65334940249.0,-69140279904.0,3047263237.0,-13030688513.0,1717913538.0,15362754193.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,117542679200.0,123051345494.0,30030839821.0,52424067075.0,74831761533.0,72702800480.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [개요],금융원가,,,576049655675.0,580714128141.0,82916202989.0,86971346357.0,46998123569.0,62108378253.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법손실,,,7339049316.0,,4080583956.0,,,388459112.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [개요],기타이익,,,9045215250.0,1447755123.0,2115476049.0,8357300171.0,5043249050.0,635085814.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [개요],기타손실,,,49221621647.0,46777247626.0,4238560600.0,2610539382.0,4977431214.0,82946153.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,-571357372437.0,-572132555054.0,-56041768438.0,-41831207006.0,29617369338.0,26120856969.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,-193039379.0,-9044390479.0,-5949014104.0,-6714694867.0,-696036096.0,4315688130.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,-571164333058.0,-563088164575.0,-50092754334.0,-35116512139.0,30313405434.0,21805168839.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,-568302488995.0,,-50183047525.0,,,21176264625.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,-2861844063.0,,90293191.0,,,628904214.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],기타포괄손익,,,20413843260.0,-6080112004.0,-1447097985.0,-449341604.0,167342129.0,-3705157792.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,147165712.0,196669166.0,-449341604.0,-449341604.0,167342129.0,167342129.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,20266677548.0,-6276781170.0,-997756381.0,,,-3872499921.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [개요],총포괄손익,,,-550750489798.0,-569168276579.0,-51539852319.0,-35565853743.0,30480747563.0,18100011047.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [개요],포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,-550393648971.0,,-51703484150.0,,,18107671490.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [개요],포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,-1609342445.0,,163631831.0,,,-7660443.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [개요],주당이익 [개요],기본주당이익(손실),,-28962.0,-28696.0,-3115.0,-2180.0,1972.0,1419.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,포괄손익계산서 [개요],주당이익 [개요],희석주당이익(손실),,-28962.0,-28696.0,-3115.0,-2180.0,1884.0,1358.0
