"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,3517837283293.0,2113886201401.0,3604377025404.0,1938194719349.0,2130649097252.0,3910960903824.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,2621487734649.0,1795941203259.0,2449425474646.0,1630253778802.0,1807688646920.0,2594344183173.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,896349548644.0,317944998142.0,1154951550758.0,307940940547.0,322960450332.0,1316616720651.0
ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:IncomeStatementAbstract,판매비와관리비,,580768965334.0,,517805181924.0,,,493589463605.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익,,315580583310.0,215101485285.0,637146368834.0,227264793830.0,241563536043.0,823027257046.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,324875551688.0,194717582401.0,206599840180.0,96195804968.0,142619851951.0,269339564139.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:IncomeStatementAbstract,기타손실,,241090835794.0,117663050367.0,170797215560.0,91022114836.0,137329042703.0,204769519330.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,42093086495.0,127076451933.0,37467672307.0,104562108878.0,11566171706.0,13518385924.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,31546863292.0,344067162.0,31086770543.0,0.0,1475073198.0,20183299100.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,-1738124900.0,,2302649226.0,,,823463952.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,408173397507.0,418888402090.0,681632544444.0,337000592840.0,256945443799.0,881755852631.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:IncomeStatementAbstract,법인세비용,,113637840952.0,83147686410.0,148561863188.0,83331720318.0,52730913967.0,138600813503.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익,,294535556555.0,335740715680.0,533070681256.0,253668872522.0,204214529832.0,743155039128.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업지분,427050356020.0,,515959247534.0,,,674518794578.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,-132514799465.0,,17111433722.0,,,68636244550.0
ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],기본주당순이익,9846.0,7741.0,11762.0,5783.0,4655.0,15377.0
