"('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431420] 단일 포괄손익계산서, 기능별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1053314451951.0,2787414358375.0,3761732632263.0,1546654798272.0,1793609461249.0,4429488166601.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1098701150944.0,2830020314859.0,3787681165939.0,1635361315068.0,1855348237181.0,4209702932895.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,-45386698993.0,-42605956484.0,-25948533676.0,-88706516796.0,-61738775932.0,219785233706.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,43009100466.0,118161506512.0,143923608794.0,53688983543.0,46031659061.0,150379085289.0
entity00141307_BadDebtExpensesReversalAllowanceDoubtfulAccountsOfStatementOfComprehensiveIncomeAbstract,대손상각비(대손충당금환입),Bad debt expenses(Reversal Allowance Doubtful Accounts),ifrs-full:StatementOfComprehensiveIncomeAbstract,대손상각비(대손충당금환입),,,,-65527190.0,-59533702.0,,,534150976.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,-88395799459.0,-160701935806.0,-169812608768.0,-142395500339.0,-107770434993.0,68871997441.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,14077656944.0,60500151138.0,104589665060.0,21789495327.0,21060623033.0,84033746874.0
dart_OtherLosses,기타손실,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타손실,,,147572119242.0,316799794144.0,205917476236.0,137294053156.0,97461545208.0,141691537850.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,325638738231.0,311237961987.0,101146047591.0,188204347612.0,121733794237.0,129336372251.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,305084069763.0,349531203482.0,78954931113.0,8348546311.0,14289343910.0,117897097075.0
entity00141307_GainOrLossOnEquityMethodInvestmentsOfStatementOfComprehensiveIncomeAbstract,지분법손익,Gain or loss on equity method investments,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,49275858747.0,146353346977.0,,,224380191412.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,-201335593289.0,-406018961560.0,-102595956489.0,-78044256867.0,-76726906841.0,247033673053.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,-47331737012.0,-78209235840.0,-19226793925.0,-35019428286.0,-33797754315.0,-168530576109.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,-154003856277.0,-327809725720.0,-83369162564.0,-43024828581.0,-42929152526.0,415564249162.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배주주지분 당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배주주지분 당기순이익,,,-252140554081.0,-60861951076.0,,,367167778524.0
