"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,수익(매출액),Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),,,3104338576129.0,1097613165124.0,1069993639125.0,2912358051475.0,2873246771346.0,939112571506.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1908164043915.0,643677683596.0,622966727422.0,1784947055113.0,1782078952849.0,552420902135.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1196174532214.0,453935481528.0,447026911703.0,1127410996362.0,1091167818497.0,386691669371.0
ifrs-full_SellingExpense,판매비,Selling expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비,,,496065565834.0,205049295619.0,206816751246.0,482412666488.0,482105168774.0,184707120173.0
ifrs-full_GeneralAndAdministrativeExpense,일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,156521188139.0,70408123020.0,71413410879.0,152607180370.0,142408146696.0,61752589727.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,543587778241.0,178478062889.0,168796749578.0,492391149504.0,466654503027.0,140231959471.0
dart_NonOperatingProfitLoss,순기타수익(비용),Other Income (Expenses),ifrs-full:StatementOfComprehensiveIncomeAbstract,순기타수익(비용),,,-28951492483.0,-19235415175.0,-4106132923.0,-7133927687.0,-3699280303.0,2517223599.0
ifrs-full_FinanceIncomeCost,순금융수익(비용),Finance income (cost),ifrs-full:StatementOfComprehensiveIncomeAbstract,순금융수익(비용),,,182215007112.0,243214803350.0,108938375452.0,34191345364.0,23165972452.0,-2732715505.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,,,-4635010589.0,,,569340242.0,606921265.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,692216282281.0,402457451064.0,273628992107.0,520017907423.0,486728116441.0,140016467565.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,158986729859.0,46915242410.0,33923149230.0,135035952174.0,88420041470.0,35359191356.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,533229552422.0,355542208654.0,239705842877.0,384981955249.0,398308074971.0,104657276209.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,141576025468.0,-2801970097.0,930535232.0,-31181490001.0,-21735698918.0,7691203149.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,144256814931.0,6116809.0,-146704376.0,-32661725474.0,-36640384535.0,-177052013.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-2680789463.0,-2808086906.0,1077239608.0,1480235473.0,14904685617.0,7868255162.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,674805577890.0,352740238557.0,240636378109.0,353800465248.0,376572376053.0,112348479358.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,524592568051.0,,,376646552736.0,392351423524.0,
