"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1856276062641.0,1935791972257.0,1699321139274.0,1724008542239.0,702503275808.0,695615699175.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,1612613655762.0,1662340102296.0,1373600797003.0,1385996390747.0,766393670508.0,760624554012.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,243662406879.0,273451869961.0,325720342271.0,338012151492.0,-63890394700.0,-65008854837.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,183510694400.0,193539533067.0,163938020176.0,168220033844.0,113611678924.0,109942414556.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,60151712479.0,79912336894.0,161782322095.0,169792117648.0,-177502073624.0,-174951269393.0
dart_OtherGains,기타수익,Other revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,25438650032.0,26668920670.0,48428835541.0,49078680386.0,25936911953.0,30916786887.0
dart_OtherLosses,기타비용,Other costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,82437941662.0,82617997439.0,26999134757.0,27210251969.0,52206725694.0,52147514554.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,15447688571.0,16218527399.0,19673241708.0,19624902000.0,13828497995.0,13734427587.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,31319948773.0,31335580037.0,38725009532.0,38738176389.0,27299548373.0,27161021168.0
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,-12719839353.0,8846207487.0,164160255055.0,172547271676.0,-217242937743.0,-209608590641.0
