"('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,7871692199887.0,2595101463079.0,2499599504613.0,7557001757272.0,6798741511168.0,2456590805969.0
ifrs-full_OperatingExpense,영업비용,Operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업비용,,,7411480038362.0,2103131505031.0,1966577844885.0,7096143911599.0,6229351066000.0,1912612693953.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,460212161525.0,491969958048.0,533021659728.0,460857845673.0,569390445168.0,543978112016.0
dart_OtherGains,기타이익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타이익,,,172702498567.0,47090675877.0,18606402101.0,192325496198.0,2013526888471.0,1426928329846.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,713723628948.0,108496061774.0,60026511317.0,2314423922721.0,1111460704300.0,49200476008.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,405789015235.0,212124829403.0,118066931473.0,317436516310.0,342770344861.0,163410058177.0
dart_InterestIncomeFinanceIncome,이자수익,"Interest income, finance income",ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,이자수익,,206389077854.0,74385455531.0,60199925087.0,190163179060.0,122729259737.0,48429113037.0
entity00258801_MiscellaneousFinanceIncomeOfFinanceIncome,기타금융수익,Miscellaneous finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,기타금융수익,,199399937381.0,,,127273337250.0,220041085124.0,
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,381480156915.0,91416357274.0,57615431193.0,308396402380.0,487662708977.0,141118875536.0
dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Profits of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법이익,,,147351448554.0,,,122168983363.0,100293933787.0,
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손실,,,93666134644.0,,,118208762169.0,157923180356.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,-2814796626.0,170139039044.0,201282825479.0,-1648240245726.0,1268935018654.0,1872117275733.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,159055770545.0,131982491758.0,99174019071.0,168428765288.0,201905981231.0,260327101673.0
