"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출,Sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,5908792000000.0,3704548000000.0,5862608000000.0,3586696000000.0,3694358000000.0,5851406000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-3006768000000.0,-1927063000000.0,-3054393000000.0,-1881464000000.0,-1776312000000.0,-2891166000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2902024000000.0,1777485000000.0,2808215000000.0,1705232000000.0,1918046000000.0,2960240000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-1713210000000.0,-795817000000.0,-1640879000000.0,-773489000000.0,-797752000000.0,-1692590000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1188814000000.0,981668000000.0,1167336000000.0,931743000000.0,1120294000000.0,1267650000000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,573737000000.0,496239000000.0,201551000000.0,99797000000.0,292187000000.0,299644000000.0
dart_OtherLosses,기타비용,Other expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,-268264000000.0,-228894000000.0,-194022000000.0,-91042000000.0,-193400000000.0,-230629000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,165266000000.0,165553000000.0,138936000000.0,167932000000.0,151615000000.0,131413000000.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,-91635000000.0,-75212000000.0,-67814000000.0,-31341000000.0,-54734000000.0,-87540000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법적용투자자산의 당기순손익에 대한 지분 증감,Share of net profit of associates and joint ventures,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법적용투자자산의 당기순손익에 대한 지분 증감,,,19232000000.0,,9610000000.0,,,29370000000.0
